Run	Year	Zone	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	VolHarvested	AreaHarvested	AreaAccessed	MeanVolPerHa	PercentOfTarget	MeanHarvestAge	KmPerM3Hauled	areaBurned
1	0	rSQ	46472.750000	68443.000000	62560.000000	68276.250000	42084.750000	0	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	rIM	6481.750000	7519.500000	11522.000000	15710.500000	4093.500000	0	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	rPA	5616.750000	5589.500000	11606.250000	15167.250000	5608.250000	0	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	rSQ	46472.750000	68443.000000	62560.000000	68276.250000	42084.750000	0	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109041.000000
1	5	rIM	6481.750000	7519.500000	11522.000000	15710.500000	4093.500000	0	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.000000
1	5	rPA	5616.750000	5589.500000	11606.250000	15167.250000	5608.250000	0	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16853.750000
1	10	rSQ	31385.250000	53297.250000	71521.000000	57902.750000	54185.500000	19545.000000	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131904.750000
1	10	rIM	11.000000	7374.000000	12110.500000	6489.750000	15819.500000	3522.500000	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3195.750000
1	10	rPA	3889.000000	4146.500000	9947.500000	10974.500000	11572.500000	3058.000000	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15967.000000
1	15	rSQ	19903.750000	46940.250000	66737.000000	62747.250000	60415.000000	31093.500000	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90933.750000
1	15	rIM	2.500000	6583.000000	7778.000000	11190.250000	15699.000000	4074.500000	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230.500000
1	15	rPA	3007.500000	3929.750000	7797.250000	11727.500000	13159.000000	3967.000000	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16006.000000
