Run	Year	FireSize	EcoRegion
1	5	89.750000	2
1	5	778.750000	2
1	5	468.500000	1
1	5	76.500000	2
1	5	114.750000	1
1	5	323.500000	2
1	5	59.000000	1
1	5	394.250000	2
1	5	66.750000	1
1	5	147.750000	1
1	5	304.250000	2
1	10	318.500000	1
1	10	265.250000	1
1	10	254.000000	1
1	10	51.000000	2
1	10	72.250000	1
1	10	54.250000	2
1	10	315.250000	1
1	15	57.750000	1
1	15	201.500000	2
1	15	73.500000	2
1	15	100.500000	1
1	15	130.250000	1
1	15	134.500000	1
1	15	71.500000	2
1	15	111.500000	2
1	15	291.000000	2
1	15	90.250000	2
1	15	209.250000	2
1	15	94.250000	1
1	15	64.000000	1
1	15	183.500000	2
1	15	133.250000	1
1	20	94.000000	1
1	20	131.000000	1
1	20	84.250000	1
1	25	144.750000	1
1	25	69.750000	1
1	25	228.250000	2
1	25	125.750000	2
1	25	168.750000	1
1	30	316.750000	1
1	30	114.750000	1
1	30	131.750000	1
1	35	200.750000	2
1	35	209.000000	2
1	35	85.500000	2
1	35	194.000000	2
1	35	91.250000	1
1	35	151.750000	2
1	35	228.000000	1
1	35	207.250000	1
1	40	121.750000	2
1	40	272.750000	1
1	40	80.750000	1
1	40	509.000000	1
1	40	353.750000	2
1	40	88.000000	1
1	40	136.250000	2
1	55	655.250000	1
1	55	537.500000	2
1	55	231.250000	1
1	55	146.250000	1
1	55	166.500000	2
1	55	238.000000	1
1	60	108.250000	2
1	60	763.750000	1
1	60	288.000000	1
1	60	332.250000	1
1	60	83.750000	1
1	60	207.500000	1
1	60	54.000000	2
1	60	936.500000	2
1	60	58.250000	1
1	60	126.000000	2
1	60	181.500000	1
1	60	345.500000	1
1	60	376.500000	1
1	60	178.500000	1
1	60	497.250000	1
1	60	50.500000	1
1	60	414.500000	2
1	60	151.750000	2
1	60	641.750000	1
1	60	125.500000	2
1	60	608.500000	2
1	60	169.250000	2
1	60	1295.250000	1
1	60	426.000000	1
1	65	140.750000	2
1	65	304.500000	1
1	65	159.000000	2
1	70	347.000000	2
1	70	151.250000	1
1	70	195.500000	1
1	70	88.000000	2
1	70	347.000000	2
1	75	313.750000	1
1	75	200.750000	2
1	75	63.750000	2
1	75	97.000000	2
1	75	835.250000	1
1	75	62.250000	1
1	75	256.000000	2
1	80	556.250000	1
1	80	260.000000	1
1	85	158.500000	1
1	85	113.500000	2
1	85	409.500000	2
1	85	368.250000	2
1	90	95.000000	1
1	90	328.000000	2
1	95	200.750000	2
1	95	400.750000	1
1	95	215.000000	2
1	100	650.750000	1
1	100	371.500000	2
1	100	53.250000	2
1	100	57.500000	2
1	100	64.750000	2
1	100	803.500000	1
1	100	81.750000	1
1	105	170.250000	2
1	105	401.750000	1
1	105	203.500000	1
1	105	312.000000	2
1	105	200.000000	2
1	110	104.250000	2
1	115	112.500000	2
1	120	201.500000	1
1	120	163.250000	2
1	120	96.500000	1
