id	type	state	length	nextSegmentId	startLoc	endLoc	startRow	startCol	endRow	endCol
46	3	1	1	0	2819622	2819622	2201	141	2201	141
47	3	1	1	0	2818340	2818340	2200	140	2200	140
48	3	1	1	0	2817059	2817059	2199	140	2199	140
49	3	1	1	0	2817058	2817058	2199	139	2199	139
50	1	1	1	0	2798889	2798889	2184	1185	2184	1185
51	3	1	1	0	2791510	2791510	2179	211	2179	211
54	3	1	1	0	2787674	2787674	2176	218	2176	218
56	3	1	1	0	2783835	2783835	2173	222	2173	222
65	1	1	1	0	2714311	2714311	2118	1153	2118	1153
67	3	1	1	0	2395368	2395368	1869	1179	1869	1179
68	3	1	1	0	2394086	2394086	1868	1178	1868	1178
85	3	1	1	0	2047125	2047125	1598	87	1598	87
86	3	1	1	0	2021450	2021450	1578	32	1578	32
87	3	1	1	0	2020170	2020170	1577	33	1577	33
89	3	1	1	0	2017345	2017345	1574	1051	1574	1051
91	3	1	1	0	1998113	1998113	1559	1034	1559	1034
103	3	1	1	0	1901989	1901989	1484	985	1484	985
107	3	1	1	0	1882765	1882765	1469	976	1469	976
109	3	1	1	0	1881483	1881483	1468	975	1468	975
110	3	1	1	0	1881482	1881482	1468	974	1468	974
111	3	1	1	0	1881481	1881481	1468	973	1468	973
112	3	1	1	0	1881480	1881480	1468	972	1468	972
114	3	1	1	0	1880203	1880203	1467	976	1467	976
122	3	1	1	0	1488169	1488169	1161	928	1161	928
123	3	1	1	0	1486888	1486888	1160	928	1160	928
124	3	1	1	0	1486880	1486880	1160	920	1160	920
126	3	1	1	0	1485607	1485607	1159	928	1159	928
128	3	1	1	0	1484326	1484326	1158	928	1158	928
129	3	1	1	0	1483045	1483045	1157	928	1157	928
131	3	1	1	0	1435666	1435666	1120	946	1120	946
136	1	1	1	0	1198733	1198733	935	998	935	998
137	1	1	1	0	1194894	1194894	932	1002	932	1002
138	3	1	1	0	1194893	1194893	932	1001	932	1001
147	3	1	1	0	672452	672452	524	1208	524	1208
156	3	1	1	0	561028	561028	437	1231	437	1231
158	3	1	1	0	492585	492585	384	681	384	681
159	3	1	1	0	491305	491305	383	682	383	682
162	3	1	1	0	478498	478498	373	685	373	685
165	3	1	1	0	463072	463072	361	631	361	631
166	3	1	1	0	461997	461997	360	837	360	837
167	3	1	1	0	461996	461996	360	836	360	836
168	3	1	1	0	461790	461790	360	630	360	630
173	3	1	1	0	456738	456738	356	702	356	702
174	3	1	1	0	450804	450804	351	1173	351	1173
175	3	1	1	0	450803	450803	351	1172	351	1172
176	3	1	1	0	449522	449522	350	1172	350	1172
178	3	1	1	0	446643	446643	348	855	348	855
179	3	1	1	0	445363	445363	347	856	347	856
180	3	1	1	0	445362	445362	347	855	347	855
181	3	1	1	0	444084	444084	346	858	346	858
182	3	1	1	0	444083	444083	346	857	346	857
184	3	1	1	0	442804	442804	345	859	345	859
