Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120		
91	0	0	3	3	2	0	 Bb	FE32
93	0	0	0	0	0	0	 BbPe	FE32
96	0	0	0	0	0	0	 BbS	FE32
100	0	0	0	0	0	0	 Pe	FE32
101	0	0	0	0	0	0	 PeBb	FE32
114	0	0	0	0	0	0	 ES	FE32
121	0	0	0	0	0	0	 PgE	FE32
173	0	0	0	0	0	0	 Bb	MJ12
175	0	0	0	1.1	0	0	 BbPe	MJ12
178	0	0	0	0	0	0	 BbS	MJ12
182	0	0	0	0	0	0	 Pe	MJ12
183	0	0	0.4	0.4	0	0	 PeBb	MJ12
191	0	0	0	0	0	0	 E	MJ12
196	0	0	0.6	1	0	0	 ES	MJ12
203	0	0	0	0	0	0	 PgE	MJ12
210	0	0	0	1.5	0	0	 SBb	MJ12
255	0	0	0	0	23.5	0	 Bb	MJ22
257	0	0	0	8	8	0	 BbPe	MJ22
258	0	0	0.1	0.3	0.6	0	 BbE	MJ22
259	0	0	0	0	0	0	 BbPg	MJ22
260	0	0	0	0	0	0	 BbS	MJ22
264	0	0	0	0.3	0.7	0	 Pe	MJ22
265	0	0	0	0	0	0	 PeBb	MJ22
267	0	0	0	0	0	0	 PeE	MJ22
269	0	0	0	0.1	0	0	 PeS	MJ22
273	0	0	0.1	0.1	0	0	 E	MJ22
274	0	0	0	0	0	0	 EBb	MJ22
275	0	0	0	0	0	0	 EPe	MJ22
278	0	0	2.2	2.2	0.6	0	 ES	MJ22
282	0	0	0	0	0	0	 Pg	MJ22
285	0	0	0	0	0	0	 PgE	MJ22
291	0	0	0	0	0	0	 S	MJ22
292	0	0	1.6	1.6	0.6	0	 SBb	MJ22
293	0	0	0.2	0.1	0	0	 SPe	MJ22
294	0	0	0	0	0	0	 SE	MJ22
337	0	0	0	8.4	8.4	0	 Bb	MJ25
339	0	0	0	0	0	0	 BbPe	MJ25
342	0	0	0	0	0	0	 BbS	MJ25
346	0	0	0	0	0	0	 Pe	MJ25
347	0	0	0	0	0	0	 PeBb	MJ25
355	0	0	0	0	0	0	 E	MJ25
357	0	0	0	0	0	0	 EPe	MJ25
360	0	0	1	1	0	0	 ES	MJ25
367	0	0	0	0	0	0	 PgE	MJ25
373	0	1	0	0	0	0	 S	MJ25
374	0	0	2.6	2.6	0.6	0	 SBb	MJ25
375	0	0	0	0.2	0	0	 SPe	MJ25
419	0	0	0	0	0	0	 Bb	MS20
421	0	0	0	0	0	0	 BbPe	MS20
422	0	0	1.2	1.8	1.8	0	 BbE	MS20
424	0	0	1.6	0	0	0	 BbS	MS20
428	0	0	0.5	1	0	0	 Pe	MS20
429	0	0	12	0	0	0	 PeBb	MS20
432	0	0	0	0	0	0	 PePg	MS20
438	0	0	0	0	0	0	 EBb	MS20
439	0	0	0	0	0	0	 EPe	MS20
441	0	0	0	0	0	0	 EPg	MS20
448	0	0	0	0	0	0	 PgPe	MS20
449	0	0	0	0	0	0	 PgE	MS20
455	0	0	0	0	0	0	 S	MS20
456	0	0	6.2	0.5	0.5	0	 SBb	MS20
457	0	0	2.2	2.1	2	0	 SPe	MS20
501	0	0	0	0	0	0	 Bb	MS21
503	0	0	6.6	0	0	0	 BbPe	MS21
504	0	0	0	0	0	0	 BbE	MS21
506	0	0	0	0	0	0	 BbS	MS21
510	0	0	1	0.3	0	0	 Pe	MS21
511	0	0	0	0	0	0	 PeBb	MS21
513	0	0	0	0	0	0	 PeE	MS21
514	0	0	0	0	0	0	 PePg	MS21
515	0	0	0	0	0	0	 PeS	MS21
521	0	0	0	0	0	0	 EPe	MS21
528	0	0	0	0	0	0	 Pg	MS21
529	0	0	0	0	0	0	 PgBb	MS21
530	0	0	0	0	0	0	 PgPe	MS21
531	0	0	0	0	0	0	 PgE	MS21
537	0	0	0	0	0	0	 S	MS21
538	0	0	2.5	2.2	0	0	 SBb	MS21
539	0	0	0	0	0	0	 SPe	MS21
540	0	0	0	0	0	0	 SE	MS21
583	0	0	0	0	0	0	 Bb	MS22
585	0	0	0	0	0	0	 BbPe	MS22
586	0	0	0	0	0	0	 BbE	MS22
587	0	0	0	0	0	0	 BbPg	MS22
588	0	0.2	0	0	0	0	 BbS	MS22
592	0	0	1	1.1	1.6	0	 Pe	MS22
593	0	0	0	0	0	0	 PeBb	MS22
595	0	0	0	0	0.5	0	 PeE	MS22
596	0	0	0	0	0	0	 PePg	MS22
597	0	0	0.2	0.2	0.2	0	 PeS	MS22
601	0	0	0	0	0	0	 E	MS22
602	0	0	0.1	0.1	0.1	0	 EBb	MS22
603	0	0	0	0	0	0	 EPe	MS22
605	0	0	0	0	0	0	 EPg	MS22
606	0	0	0	0	0	0	 ES	MS22
610	0	0	0	0	0	0	 Pg	MS22
611	0	0	0	0	0	0	 PgBb	MS22
612	0	0.3	0.3	0.2	0	0	 PgPe	MS22
613	0	0	0	0	0	0	 PgE	MS22
619	0	0	0	0	0	0	 S	MS22
620	0	0	0	0	0	0	 SBb	MS22
621	0	0	0	0	0	0	 SPe	MS22
622	0	0	0	0	0	0	 SE	MS22
623	0	0	0	0	0	0	 SPg	MS22
665	0	0	0	0	0	0	 Bb	MS25
667	0	0	0	0	0	0	 BbPe	MS25
668	0	0	0	0	0	0	 BbE	MS25
670	0	0	0	0	0	0	 BbS	MS25
674	0	0	0	0	0	0	 Pe	MS25
675	0	1.2	13	0	0	0	 PeBb	MS25
679	0	0	0	0	0	0	 PeS	MS25
694	0	0	0	0	0	0	 PgPe	MS25
695	0	0	0	0	0	0	 PgE	MS25
701	0	0	0	0	0	0	 S	MS25
702	0	0	0	0	0	0	 SBb	MS25
703	0	0	0.9	1.1	2.1	0	 SPe	MS25
747	0	0	0	0	0	0	 Bb	RE20
749	0	0	0	0	0	0	 BbPe	RE20
750	0	0	0	0	0	0	 BbE	RE20
757	0	0	0	0	0.1	0	 PeBb	RE20
759	0	0	0	0	0	0	 PeE	RE20
761	0	0	0	0	0	0	 PeS	RE20
765	0	0	0	0	0	0	 E	RE20
766	0	0	0	0	0	0	 EBb	RE20
767	0	0	0	0	0	0	 EPe	RE20
769	0	0	2.4	0	0	0	 EPg	RE20
770	0	0	0	0	0	0	 ES	RE20
772	0	0	0	0	0	0	 EMe	RE20
774	0	0	0	0	0	0	 Pg	RE20
775	0	0	0	0	0	0	 PgBb	RE20
777	0	0	0	0	0	0	 PgE	RE20
781	0	0	0	0	0	0	 PgMe	RE20
783	0	0	0	0	0	0	 S	RE20
784	0	0	0	0	0	0	 SBb	RE20
785	0	0	0	0	0	0	 SPe	RE20
786	0	0	0.7	0.7	0.7	0	 SE	RE20
787	0	0	0	0	0	0	 SPg	RE20
829	0	0	0	0	0	0	 Bb	RE21
834	0	0	0	0	0	0	 BbS	RE21
839	0	0	0	0	0	0	 PeBb	RE21
842	0	0	0	0	0	0	 PePg	RE21
847	0	0	0	0	0	0	 E	RE21
849	0	0	0	0	0	0	 EPe	RE21
851	0	0	0	0	0	0	 EPg	RE21
852	0	0	0	0	0	0	 ES	RE21
854	0	0	0	0	0	0	 EMe	RE21
856	0	0	0	0	0	0	 Pg	RE21
857	0	0	0	0	0	0	 PgBb	RE21
858	0	0.1	0.1	0.3	0.3	0	 PgPe	RE21
859	0	0	0	0	0	0	 PgE	RE21
863	0	0	0	0	0	0	 PgMe	RE21
865	0	0	0	0	0	0	 S	RE21
