AU	ac0	ac1	ac2	ac3	ac4	ac5	ac6	ac7	ac8	ac9	ac10	ac11	ac12	ac13	ac14	ac15	ac16	ac17	ac18	ac19	ac20	ac21	ac22	ac23	ac24	ac25	ac26	ac27	ac28	ac29	ac30
1	0	0	0	0	27.719384	52.337105	72.451248	89.457513	104.189010	117.183112	128.806732	139.321575	148.920874	157.751374	165.927140	173.538596	180.658637	187.346888	193.652739	199.617561	205.276358	210.659004	215.791201	220.695224	225.390501	229.894080	234.221001	238.384603	242.396767	246.268123	250.008222
2	0	0	30.660085	86.139945	125.503532	156.036302	180.983392	202.075855	220.346978	236.463251	250.879748	263.921057	275.826838	286.779095	296.919302	306.359608	315.190425	323.485702	331.306698	338.704725	345.723195	352.399161	358.764503	364.846845	370.670285	376.255965	381.622542	386.786557	391.762748	396.564300	401.203055
3	0	0	79.797814	141.928346	186.010660	220.203560	248.141193	271.762125	292.223507	310.271725	326.416406	341.021047	354.354039	366.619203	377.974971	388.546938	398.436353	407.726031	416.484571	424.769440	432.629253	440.105503	447.233893	454.045359	460.566885	466.822152	472.832049	478.615104	484.187818	489.564957	494.759785
4	0	0	65.264316	125.427774	168.114427	201.224768	228.277886	251.150971	270.964539	288.441344	304.074879	318.217132	331.127997	343.004842	354.001083	364.238338	373.814650	382.810213	391.291456	399.314023	406.924991	414.164541	421.067244	427.663056	433.978109	440.035331	445.854954	451.454914	456.851194	462.058091	467.088449
5	0	0	108.187675	174.160706	220.969317	257.276896	286.942348	312.024130	333.750958	352.915379	370.058537	385.566411	399.723990	412.747700	424.805772	436.031569	446.532600	456.396803	465.697021	474.494272	482.840179	490.778803	498.348052	505.580777	512.505631	519.147758	525.529341	531.670052	537.587414	543.297105	548.813210
6	0	0	0	43.717838	79.493253	107.242821	129.915869	149.085658	165.691284	180.338485	193.440852	205.293385	216.113900	226.067809	235.283689	243.863468	251.889315	259.428440	266.536516	273.260179	279.638883	285.706305	291.491416	297.019325	302.311931	307.388451	312.265840	316.959132	321.481720	325.845588	330.061499
7	0	0	63.240986	123.130591	165.622943	198.582571	225.512548	248.281520	268.004900	285.402154	300.964528	315.042408	327.894505	339.717289	350.663477	360.854134	370.386857	379.341474	387.784111	395.770161	403.346485	410.553082	417.424365	423.990154	430.276462	436.306113	442.099246	447.673717	453.045434	458.228630	463.236091
8	0	38.080306	163.708183	237.195781	289.336061	329.779204	362.823659	390.762346	414.963939	436.311256	455.407082	472.681358	488.451536	502.958694	516.390224	528.894680	540.591817	551.579588	561.939134	571.738424	581.034960	589.877822	598.309236	606.365794	614.079414	621.478103	628.586572	635.426731	642.018102	648.378148	654.522557
9	0	0	6.514723	58.726566	95.771458	124.505709	147.983302	167.833323	185.028194	200.195145	213.762445	226.035560	237.240037	247.547157	257.090059	265.974288	274.284930	282.091577	289.451880	296.414130	303.019180	309.301902	315.292296	321.016361	326.496773	331.753431	336.803892	341.663724	346.346794	350.865512	355.231024
10	0	26.583413	148.750381	220.213476	270.917349	310.246328	342.380444	369.549452	393.084317	413.843539	432.413296	449.211685	464.547412	478.654913	491.716420	503.876391	515.251285	525.936355	536.010507	545.539837	554.580264	563.179515	571.378653	579.213262	586.714380	593.909243	600.821882	607.473602	613.883388	620.068222	626.043359
