Run	Year	StartEcoRegion	TargetSize	FinalSize
1	0	1	89.250000	0
1	0	1	64.000000	0
1	0	2	81.500000	0
1	0	2	94.500000	0
1	0	2	66.750000	0
1	0	2	94.500000	0
1	0	2	68.500000	0
1	0	2	51.250000	0
1	0	1	63.500000	0
1	0	2	63.500000	0
1	0	1	55.750000	0
1	0	2	95.250000	0
1	0	2	90.000000	0
1	0	2	88.000000	0
1	0	1	74.500000	0
1	0	2	99.500000	0
1	0	2	55.250000	0
1	0	2	79.250000	0
1	0	2	87.750000	0
1	0	1	51.250000	0
1	0	2	97.000000	0
1	0	2	51.500000	0
1	5	1	59.750000	0
1	5	1	75.750000	0
1	5	1	92.000000	0
1	10	2	66.500000	0
1	10	2	50.500000	0
1	10	1	56.500000	0
1	15	2	98.500000	0
1	15	1	67.750000	0
1	15	1	60.750000	0
1	15	2	64.000000	0
1	15	1	90.750000	0
1	15	2	84.500000	0
1	20	2	73.000000	0
1	20	2	95.250000	0
1	20	1	68.750000	0
1	20	1	69.000000	0
1	20	2	64.500000	0
1	20	2	98.500000	0
1	20	1	52.000000	0
1	20	1	50.500000	0
1	20	2	99.750000	0
1	25	2	70.750000	0
1	25	2	95.750000	0
1	30	1	54.500000	0
1	30	1	77.750000	0
1	30	1	65.000000	0
1	30	1	87.500000	0
1	30	1	60.750000	0
1	30	2	63.250000	0
1	30	2	55.750000	0
1	30	2	63.000000	0
1	30	1	60.250000	0
1	30	2	98.750000	0
1	30	2	67.500000	0
1	30	1	80.750000	0
1	30	2	90.250000	0
1	30	2	65.250000	0
1	30	2	55.000000	0
1	30	2	58.750000	0
1	30	1	63.250000	0
1	30	2	90.250000	0
1	30	2	79.250000	0
1	30	2	71.250000	0
1	30	1	91.500000	0
1	30	1	77.750000	0
1	30	1	80.500000	0
1	30	1	87.750000	0
1	30	2	67.500000	0
1	30	2	55.250000	0
1	30	2	78.500000	0
1	30	1	78.250000	0
1	30	2	71.250000	0
1	35	1	88.250000	0
1	35	2	82.500000	0
1	40	1	87.250000	0
1	40	2	59.500000	0
1	40	2	65.500000	0
1	40	1	83.500000	0
1	45	2	61.750000	0
1	45	2	84.750000	0
1	50	1	63.250000	0
1	50	1	86.000000	0
1	50	2	52.250000	0
1	55	1	99.500000	0
1	55	1	58.750000	0
1	55	1	74.000000	0
1	55	2	63.500000	0
1	55	2	68.250000	0
1	55	1	76.500000	0
1	55	1	66.000000	0
1	55	1	92.750000	0
1	55	1	90.500000	0
1	60	1	89.250000	0
1	60	1	56.000000	0
1	60	1	80.250000	0
1	60	1	68.750000	0
1	60	2	68.000000	0
1	60	2	82.000000	0
1	60	1	75.500000	0
1	60	1	67.500000	0
1	60	2	59.000000	0
1	60	2	92.250000	0
1	60	1	83.000000	0
1	60	2	56.250000	0
1	60	1	95.000000	0
1	60	2	97.250000	0
1	60	1	79.250000	0
1	60	2	63.750000	0
1	60	2	69.000000	0
1	65	1	63.000000	0
1	65	2	83.000000	0
1	65	2	74.500000	0
1	65	1	96.750000	0
1	65	1	64.250000	0
1	70	1	75.750000	0
1	70	1	86.250000	0
1	70	1	81.000000	0
1	70	1	52.250000	0
1	70	1	93.250000	0
1	70	1	70.000000	0
1	70	1	75.500000	0
1	70	2	75.000000	0
1	70	2	68.000000	0
1	70	2	64.250000	0
1	70	2	59.500000	0
1	70	1	72.250000	0
1	70	2	88.000000	0
1	70	1	75.250000	0
1	70	2	74.500000	0
1	70	2	70.250000	0
1	70	1	88.250000	0
1	70	2	63.000000	0
1	70	2	77.750000	0
1	70	2	96.000000	0
1	70	1	93.250000	0
1	75	1	71.750000	0
1	75	1	94.750000	0
1	75	2	92.500000	0
1	80	2	56.750000	0
1	80	1	56.000000	0
1	80	2	77.250000	0
1	80	2	53.750000	0
1	80	2	80.000000	0
1	85	1	87.000000	0
1	90	1	62.750000	0
1	90	1	70.000000	0
1	90	1	53.250000	0
1	90	1	59.750000	0
1	90	1	73.500000	0
1	90	1	86.000000	0
1	95	2	98.500000	0
1	95	2	69.000000	0
1	95	1	89.250000	0
1	95	1	75.250000	0
1	95	1	61.500000	0
1	95	2	68.750000	0
1	95	2	52.250000	0
1	95	2	57.500000	0
1	95	1	74.000000	0
1	95	1	54.250000	0
1	95	2	52.000000	0
1	95	1	77.000000	0
1	95	1	76.500000	0
1	100	2	74.000000	0
1	100	2	97.750000	0
1	105	2	62.750000	0
1	105	1	68.750000	0
1	110	1	60.500000	0
1	115	1	71.000000	0
1	115	2	71.000000	0
1	115	1	66.750000	0
1	115	2	95.000000	0
1	115	2	57.000000	0
1	115	1	94.000000	0
1	115	2	61.750000	0
1	115	1	96.250000	0
1	115	2	79.500000	0
1	115	1	59.500000	0
1	115	2	64.000000	0
1	115	1	97.500000	0
1	115	1	64.000000	0
1	115	2	58.500000	0
1	115	1	80.750000	0
1	115	2	53.250000	0
1	115	2	84.250000	0
1	115	1	60.250000	0
1	115	2	73.500000	0
1	115	1	72.000000	0
1	115	1	67.000000	0
1	115	1	77.500000	0
1	115	1	55.250000	0
1	115	2	63.500000	0
1	115	1	83.250000	0
1	115	1	73.250000	0
1	115	2	52.500000	0
1	115	1	84.500000	0
1	115	1	53.500000	0
1	115	1	92.250000	0
1	115	1	95.500000	0
1	115	2	85.500000	0
1	115	2	52.750000	0
1	115	1	78.750000	0
1	115	2	75.000000	0
1	115	1	82.000000	0
1	115	1	99.000000	0
1	115	2	82.750000	0
1	115	1	61.750000	0
1	115	2	55.750000	0
1	115	2	61.750000	0
1	115	2	77.250000	0
1	115	2	84.750000	0
1	115	1	77.500000	0
1	115	2	58.250000	0
1	120	1	69.500000	0
1	120	1	52.000000	0
1	125	1	79.750000	0
1	125	1	60.500000	0
1	125	1	90.000000	0
1	125	1	57.500000	0
1	125	2	83.250000	0
1	125	2	61.500000	0
1	130	1	73.250000	0
1	130	2	60.000000	0
1	130	1	81.250000	0
1	130	2	79.500000	0
1	135	1	56.250000	0
1	135	1	81.500000	0
1	135	1	54.750000	0
1	135	2	56.250000	0
1	135	1	59.000000	0
1	135	1	87.250000	0
1	135	1	53.500000	0
1	135	1	51.250000	0
1	135	1	78.250000	0
1	135	1	62.500000	0
1	135	1	81.500000	0
1	135	2	78.750000	0
1	135	1	84.250000	0
1	135	2	88.250000	0
1	140	1	74.250000	0
1	140	1	65.000000	0
1	140	2	83.750000	0
1	140	2	93.250000	0
1	140	1	97.500000	0
1	140	1	63.000000	0
1	145	2	86.000000	0
1	145	1	92.000000	0
1	145	1	85.500000	0
1	145	1	73.750000	0
1	145	1	96.750000	0
1	145	1	62.750000	0
1	145	2	92.000000	0
1	145	2	62.250000	0
1	150	1	74.500000	0
1	155	1	63.750000	0
1	155	1	61.250000	0
1	155	1	96.750000	0
1	155	1	77.000000	0
1	155	2	57.750000	0
1	155	1	73.500000	0
1	155	1	99.000000	0
1	155	2	85.250000	0
1	155	1	98.750000	0
1	155	1	77.000000	0
1	155	2	75.000000	0
1	155	1	65.000000	0
1	155	1	97.250000	0
1	155	2	55.000000	0
1	155	1	90.500000	0
1	155	1	95.250000	0
1	155	1	64.000000	0
1	155	2	85.500000	0
1	160	1	88.250000	0
1	160	1	82.500000	0
1	160	2	81.500000	0
1	165	2	73.250000	0
1	165	2	81.750000	0
1	165	2	57.500000	0
1	165	2	57.250000	0
1	165	1	97.500000	0
1	165	2	74.750000	0
1	165	2	59.000000	0
1	165	2	50.500000	0
1	165	1	58.000000	0
1	165	2	82.000000	0
1	165	2	51.750000	0
1	165	2	87.000000	0
1	165	1	76.750000	0
1	165	1	98.250000	0
1	165	2	60.250000	0
1	180	1	52.500000	0
1	180	1	62.500000	0
1	180	1	58.000000	0
1	180	2	58.250000	0
1	180	1	72.000000	0
1	180	1	77.250000	0
1	180	1	97.500000	0
1	180	2	85.750000	0
1	180	2	85.000000	0
1	180	1	84.250000	0
1	180	2	79.500000	0
1	180	1	89.250000	0
1	185	1	81.500000	0
1	185	2	82.500000	0
1	185	2	73.750000	0
1	185	2	64.250000	0
1	185	2	63.250000	0
1	185	1	66.000000	0
1	185	2	61.750000	0
1	185	2	63.250000	0
1	185	1	50.250000	0
1	185	1	99.250000	0
1	190	1	96.250000	0
1	195	1	64.000000	0
1	195	2	63.000000	0
1	195	1	72.000000	0
1	195	1	83.000000	0
1	195	1	80.000000	0
1	195	2	75.250000	0
1	195	1	84.000000	0
1	200	1	53.500000	0
1	200	2	62.000000	0
1	200	1	64.250000	0
1	200	2	61.250000	0
1	200	1	96.250000	0
1	205	1	58.000000	0
1	205	2	60.000000	0
1	205	1	100.000000	0
1	205	1	53.750000	0
1	205	2	97.500000	0
1	205	1	89.750000	0
1	205	1	67.000000	0
1	205	1	55.250000	0
1	205	2	55.500000	0
1	205	1	91.000000	0
1	205	1	88.000000	0
1	205	2	69.250000	0
1	205	2	53.250000	0
1	205	2	55.500000	0
1	210	1	70.500000	0
1	210	1	73.500000	0
1	210	2	75.000000	0
1	220	1	63.250000	0
1	225	2	60.250000	0
1	225	1	90.250000	0
1	225	2	92.250000	0
1	225	1	99.250000	0
1	225	1	91.500000	0
1	225	2	98.500000	0
1	225	1	69.750000	0
1	225	2	66.000000	0
1	225	2	86.000000	0
1	225	2	54.500000	0
1	225	2	65.000000	0
1	225	1	69.000000	0
1	225	1	88.750000	0
1	230	1	97.000000	0
1	230	1	58.000000	0
1	230	2	57.250000	0
1	235	1	65.250000	0
1	235	2	99.750000	0
1	235	1	52.250000	0
1	235	1	96.500000	0
1	235	1	62.500000	0
1	235	1	54.000000	0
1	235	2	60.000000	0
1	235	1	71.500000	0
1	235	1	55.250000	0
1	235	1	68.750000	0
1	235	2	76.000000	0
1	240	1	72.250000	0
1	245	1	78.250000	0
1	245	1	71.500000	0
1	245	1	53.250000	0
1	245	2	87.500000	0
1	245	1	69.250000	0
1	250	2	60.750000	0
1	250	2	71.750000	0
1	250	1	88.250000	0
1	250	2	55.000000	0
1	255	1	83.500000	0
1	260	1	93.250000	0
1	260	1	66.000000	0
1	260	2	91.750000	0
1	260	1	62.750000	0
1	260	1	52.000000	0
1	260	1	77.250000	0
1	260	1	82.250000	0
1	260	2	81.750000	0
1	260	2	92.500000	0
1	260	2	79.750000	0
1	260	2	68.750000	0
1	260	1	94.250000	0
1	265	1	71.750000	0
