SoilIndex	wBirch	bSpruce	jPine	tAspen	bFir
10412	0	0	0	122	0
10415	126	0	0	122	104
10418	130	0	0	124	131
10421	129	81	65	117	131
412	0	0	0	0	0
415	0	0	0	85	0
418	0	0	0	106	0
421	0	0	0	104	114
11412	113	0	0	127	0
11415	132	0	0	125	132
11418	132	105	0	126	135
11421	131	129	91	118	133
1412	0	0	0	0	0
1415	0	0	0	107	0
1418	0	0	0	111	115
1421	68	59	0	107	121
12412	122	0	0	129	85
12415	135	76	0	126	139
12418	134	136	71	127	137
12421	132	144	103	119	134
2412	0	0	0	104	0
2415	0	0	0	111	84
2418	79	0	0	115	123
2421	87	87	46	109	124
10212	0	0	0	123	0
10215	127	0	0	123	114
10218	131	0	0	125	132
10221	130	89	72	117	131
212	0	0	0	0	0
215	0	0	0	93	0
218	0	0	0	107	0
221	0	0	0	105	116
11212	116	0	0	127	0
11215	133	0	0	125	134
11218	133	112	0	126	136
11221	132	134	96	118	134
1212	0	0	0	0	0
1215	0	0	0	108	0
1218	57	0	0	113	117
1221	73	66	0	108	122
12212	124	0	0	129	93
12215	136	85	0	126	140
12218	134	140	77	127	138
12221	133	146	106	119	135
2212	0	0	0	107	0
2215	0	0	0	112	89
2218	83	51	0	115	124
2221	91	91	54	110	125
10312	0	0	0	112	0
10315	0	0	0	117	0
10318	124	0	0	120	120
10321	123	0	0	113	124
312	0	0	0	0	0
315	0	0	0	0	0
318	0	0	0	78	0
321	0	0	0	90	80
11312	0	0	0	121	0
11315	119	0	0	121	112
11318	127	0	0	122	129
11321	126	91	52	115	128
1312	0	0	0	0	0
1315	0	0	0	79	0
1318	0	0	0	98	78
1321	0	0	0	98	109
12312	85	0	0	124	0
12315	126	0	0	122	127
12318	129	97	0	123	132
12321	128	110	72	116	130
2312	0	0	0	0	0
2315	0	0	0	97	0
2318	0	0	0	105	105
2321	59	60	0	103	114
10112	0	0	0	0	0
10115	0	0	0	106	0
10118	103	0	0	112	0
10121	110	0	0	107	109
112	0	0	0	0	0
115	0	0	0	0	0
118	0	0	0	0	0
121	0	0	0	56	0
11112	0	0	0	110	0
11115	0	0	0	113	0
11118	116	0	0	116	115
11121	117	48	0	110	118
1112	0	0	0	0	0
1115	0	0	0	0	0
1118	0	0	0	63	0
1121	0	0	0	75	73
12112	0	0	0	116	0
12115	98	0	0	116	98
12118	120	54	0	118	122
12121	121	77	0	112	122
2112	0	0	0	0	0
2115	0	0	0	0	0
2118	0	0	0	81	66
2121	0	0	0	87	89
