SoilIndex	wBirch	bSpruce	jPine	tAspen	bFir
10412	0	0	0	123	0
10415	0	0	0	122	123
10418	116	0	0	122	132
10421	115	0	79	114	130
412	0	0	0	99	0
415	0	0	0	112	0
418	0	0	0	114	0
421	0	0	0	107	0
11412	0	0	0	128	0
11415	0	0	0	124	137
11418	121	0	0	124	136
11421	120	93	101	116	133
1412	0	0	0	117	0
1415	0	0	0	117	0
1418	0	0	0	118	0
1421	0	0	0	110	0
12412	0	0	0	129	125
12415	112	0	0	125	143
12418	124	101	84	125	138
12421	123	112	108	117	134
2412	0	0	0	121	0
2415	0	0	0	119	0
2418	0	0	0	120	0
2421	0	60	0	112	0
10212	0	0	0	124	0
10215	0	0	0	122	125
10218	117	0	0	123	132
10221	116	0	83	114	131
212	0	0	0	103	0
215	0	0	0	113	0
218	0	0	0	115	0
221	0	0	0	108	0
11212	0	0	0	128	0
11215	0	0	0	125	138
11218	122	0	0	124	136
11221	120	96	103	116	133
1212	0	0	0	118	0
1215	0	0	0	118	0
1218	0	0	0	118	0
1221	0	0	0	110	0
12212	0	0	0	130	127
12215	114	0	0	126	143
12218	125	105	88	126	138
12221	123	115	110	117	134
2212	0	0	0	122	0
2215	0	0	0	120	0
2218	0	0	0	120	0
2221	0	62	47	112	0
10312	0	0	0	117	0
10315	0	0	0	117	0
10318	0	0	0	118	122
10321	93	0	0	111	123
312	0	0	0	0	0
315	0	0	0	101	0
318	0	0	0	106	0
321	0	0	0	101	0
11312	0	0	0	123	0
11315	0	0	0	121	124
11318	103	0	0	121	130
11321	108	63	68	113	128
1312	0	0	0	105	0
1315	0	0	0	111	0
1318	0	0	0	112	0
1321	0	0	0	105	0
12312	0	0	0	126	85
12315	0	0	0	122	134
12318	114	69	0	122	133
12321	115	86	83	114	130
2312	0	0	0	114	0
2315	0	0	0	114	0
2318	0	0	0	115	0
2321	0	0	0	107	0
10112	0	0	0	91	0
10115	0	0	0	109	0
10118	0	0	0	110	0
10121	0	0	0	104	108
112	0	0	0	0	0
115	0	0	0	0	0
118	0	0	0	82	0
121	0	0	0	84	0
11112	0	0	0	116	0
11115	0	0	0	115	78
11118	0	0	0	114	118
11121	72	0	0	107	118
1112	0	0	0	0	0
1115	0	0	0	93	0
1118	0	0	0	98	0
1121	0	0	0	95	0
12112	0	0	0	120	0
12115	0	0	0	117	115
12118	66	0	0	117	124
12121	91	59	49	109	121
2112	0	0	0	90	0
2115	0	0	0	103	0
2118	0	0	0	105	0
2121	0	0	0	100	0
