Value	Id	
2	4	 OrganicMaterial1mThick
3	4	 OrganicMaterialLessThanThick
4	2	 WellStratifiedAlluviumOrganicSiltClayFormer
5	2	 WellStratifiedAlluviumOrganicSiltClay
6	1	 PrincipallySandGravelFormerWater
7	7	 ThinOrAbsentSoilHalfRockyOutcrops
8	0	 UndifferentiatedSoil
9	0	 ThinSoil
10	6	 VeryThinSoilUnder25cm
11	0	 AverageDepthSoil
12	7	 InferiorSoilTo50cmThinSomeOutcrops
13	1	 FluvioGlacialSandGravel
14	0	 WashedOutSoil
15	0	 DecrepitThinLooseMoraine
16	1	 FluvioGlacialSandGravelFormerWater
17	0	 AverageDepthDecrepitMoraine
18	5	 StableDuneByVegetation
19	0	 Thin
20	0	 Average
21	0	 Ridge
22	3	 GlaciolacustreSandSometimesGravel
23	3	 OrganicMaterialFineSandAlluviumSiltClay
