Run	Year	VolHarvested	AreaHarvested	AreaAccessed	MeanVolPerHa	PercentOfTarget	MeanHarvestAge	KmSpursBuilt	KmMainlineBuilt	KmPerM3Hauled	pBb	pC	pE	pMe	pPe	pPg	pS	pUnk	pConif	pMixed	pDecid
1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
