Run	Year	CategoryId	Category	NetArea	TotalArea
1	0	1	lAvailable	0	0
1	0	2	lMHA	0	0
1	0	3	lProtected	0	0
1	0	4	lDist	0	0
1	0	5	lAdjGreenup	0	0
1	0	6	lACReserve	0	0
1	0	7	lMosaicReserve	0	0
1	0	8	lStripCutReserve	0	0
1	5	1	lAvailable	0	0
1	5	2	lMHA	0	0
1	5	3	lProtected	0	0
1	5	4	lDist	0	0
1	5	5	lAdjGreenup	0	0
1	5	6	lACReserve	0	0
1	5	7	lMosaicReserve	0	0
1	5	8	lStripCutReserve	0	0
1	10	1	lAvailable	0	0
1	10	2	lMHA	0	0
1	10	3	lProtected	0	0
1	10	4	lDist	0	0
1	10	5	lAdjGreenup	0	0
1	10	6	lACReserve	0	0
1	10	7	lMosaicReserve	0	0
1	10	8	lStripCutReserve	0	0
1	15	1	lAvailable	0	0
1	15	2	lMHA	0	0
1	15	3	lProtected	0	0
1	15	4	lDist	0	0
1	15	5	lAdjGreenup	0	0
1	15	6	lACReserve	0	0
1	15	7	lMosaicReserve	0	0
1	15	8	lStripCutReserve	0	0
1	20	1	lAvailable	0	0
1	20	2	lMHA	0	0
1	20	3	lProtected	0	0
1	20	4	lDist	0	0
1	20	5	lAdjGreenup	0	0
1	20	6	lACReserve	0	0
1	20	7	lMosaicReserve	0	0
1	20	8	lStripCutReserve	0	0
1	25	1	lAvailable	0	0
1	25	2	lMHA	0	0
1	25	3	lProtected	0	0
1	25	4	lDist	0	0
1	25	5	lAdjGreenup	0	0
1	25	6	lACReserve	0	0
1	25	7	lMosaicReserve	0	0
1	25	8	lStripCutReserve	0	0
1	30	1	lAvailable	0	0
1	30	2	lMHA	0	0
1	30	3	lProtected	0	0
1	30	4	lDist	0	0
1	30	5	lAdjGreenup	0	0
1	30	6	lACReserve	0	0
1	30	7	lMosaicReserve	0	0
1	30	8	lStripCutReserve	0	0
1	35	1	lAvailable	0	0
1	35	2	lMHA	0	0
1	35	3	lProtected	0	0
1	35	4	lDist	0	0
1	35	5	lAdjGreenup	0	0
1	35	6	lACReserve	0	0
1	35	7	lMosaicReserve	0	0
1	35	8	lStripCutReserve	0	0
1	40	1	lAvailable	0	0
1	40	2	lMHA	0	0
1	40	3	lProtected	0	0
1	40	4	lDist	0	0
