SuccGrp	Spp	ac0	ac20	ac40	ac60	ac80	ac100	pGetTrans_ac0	pGetTrans_ac20	pGetTrans_ac40	pGetTrans_ac60	pGetTrans_ac80	pGetTrans_ac100	pMakeTrans_ac0	pMakeTrans_ac20	pMakeTrans_ac40	pMakeTrans_ac60	pMakeTrans_ac80	pMakeTrans_ac100
gFE32	 Bb	0	3	3	3	2	0	0	0.030000	0.030000	0.030000	0.020000	0	0	0	1	1	1	1
gFE32	 BbPe	0	3	3	3	2	0	0	0	0	0	0	0	0	0	1	1	1	1
gFE32	 BbS	0	3	3	3	2	0	0	0	0	0	0	0	0	0	1	1	1	1
gFE32	 PeBb	0	3	3	3	2	0	0	0	0	0	0	0	0	0	1	1	1	1
gFE32	 ES	0	97	97	97	98	100	0	0.970000	0	0	0.010000	0.020000	0	0	0	0	0	0
gFE32	 PgE	100	0	0	0	0	0	100	0	0	0	0	0	0	1	0	0	0	0
gMJ12	 Bb	0	14	19	19.500000	30	100	0	0.140000	0.050000	0.005000	0.105000	0.700000	0	0	0	0	0	0
gMJ12	 BbPe	0	0	1.100000	1.200000	0	0	0	0	0.011000	0.012000	0	0	0	0	0	1	1	0
gMJ12	 BbS	0	78.600000	71	57	57	0	0	0.786000	0	0	0	0	0	0	0.096692	0.197183	0	1
gMJ12	 Pe	0	0.400000	0.400000	6	0	0	0	0	0	0	0	0	0	0	1	1	1	0
gMJ12	 PeBb	0	0.400000	0.400000	6	0	0	0	0.004000	0.004000	0.060000	0	0	0	0	1	1	1	0
gMJ12	 E	0	7	7	13	13	0	0	0	0	0	0	0	0	0	0.085714	0.142857	0	1
gMJ12	 ES	0	7	7	13	13	0	0	0.070000	0.006000	0.070000	0	0	0	0	0.085714	0.142857	0	1
gMJ12	 PgE	100	0	0	0	0	0	100	0	0	0	0	0	0	1	0	0	0	0
gMJ12	 SBb	0	0	1.500000	3.300000	0	0	0	0	0.015000	0.033000	0	0	0	0	0	1	1	0
gMJ22	 Bb	0	14	16.700000	23.500000	31.500000	18.500000	0	0.140000	0.027000	0.068000	0.315000	0	0	0	0	0	1	0.412698
gMJ22	 BbPe	0	8	8	8	27	27	0	0.080000	0	0.080000	0.270000	0	0	0	0	1	1	0
gMJ22	 BbE	0	0.100000	0.300000	0.600000	0.800000	0.800000	0	0.001000	0.003000	0.006000	0.008000	0	0	0	1	1	1	0
gMJ22	 BbPg	0	14	16.700000	23.500000	31.500000	18.500000	0	0	0	0	0	0	0	0	0	0	1	0.412698
gMJ22	 BbS	0	67.700000	67.700000	57.100000	33.200000	9.600000	0	0.677000	0	0	0	0	0	0	0	0.156573	0.418564	0.710843
gMJ22	 Pe	0	0	0.300000	0.700000	0.700000	0.700000	0	0	0.003000	0.007000	0.007000	0	0	0	0	1	1	0
gMJ22	 PeBb	0	2.800000	2.800000	4	5.400000	43.400000	0	0.028000	0	0.012000	0.014000	0.380000	0	0	0	0	0	0
gMJ22	 PeE	12.400000	0	0	0	0	0	12.400000	0	0	0	0	0	0	1	0	0	0	0
gMJ22	 PeS	0	0	0.100000	0.100000	0	0	0	0	0.001000	0.001000	0	0	0	0	0	1	1	0
gMJ22	 E	0	0.100000	0.100000	0.200000	0	0	0	0.001000	0.001000	0.002000	0	0	0	0	1	1	1	0
gMJ22	 EBb	0	0.100000	0.300000	0.600000	0.800000	0.800000	0	0	0	0	0	0	0	0	1	1	1	0
gMJ22	 EPe	12.400000	0	0	0	0	0	12.400000	0	0	0	0	0	0	1	0	0	0	0
gMJ22	 ES	0	2.200000	2.200000	3.900000	0.600000	0	0	0.022000	0.022000	0.039000	0.006000	0	0	0	1	1	1	1
gMJ22	 Pg	1.800000	0	0	0	0	0	1.800000	0	0	0	0	0	0	1	0	0	0	0
gMJ22	 PgE	84.700000	3	0	0	0.100000	0	84.700000	0	0	0	0.001000	0	0	0.964581	1	0	0	1
gMJ22	 S	1.100000	0.300000	0	0	0	0	1.100000	0	0	0	0	0	0	0.727273	1	0	0	0
gMJ22	 SBb	0	1.600000	1.600000	1.600000	0.600000	0	0	0.016000	0.016000	0.016000	0.006000	0	0	0	1	1	1	1
gMJ22	 SPe	0	0.200000	0.200000	0.100000	0	0	0	0.002000	0.002000	0.001000	0	0	0	0	1	1	1	0
gMJ22	 SE	0	0	0	0.200000	0.100000	0	0	0	0	0.002000	0	0	0	0	0	0	0.500000	1
gMJ25	 Bb	0	8.400000	8.400000	8.400000	15	15	0	0.084000	0	0.084000	0.150000	0	0	0	0	1	1	0
gMJ25	 BbPe	0	4.500000	4.500000	4.500000	24	29.300000	0	0.045000	0	0	0.195000	0.053000	0	0	0	0	0	0
gMJ25	 BbS	0	78.800000	80.600000	73	53.900000	21.700000	0	0.788000	0.018000	0	0	0	0	0	0	0.094293	0.261644	0.597403
gMJ25	 Pe	1.300000	2.700000	2.700000	4	6.500000	34	1.300000	0	0	0	0	0	0	0	0	0	0	0
gMJ25	 PeBb	1.300000	2.700000	2.700000	4	6.500000	34	1.300000	0.014000	0	0.013000	0.025000	0.275000	0	0	0	0	0	0
gMJ25	 E	0	1	1	3.200000	0	0	0	0	0	0	0	0	0	0	1	1	1	0
gMJ25	 EPe	1.300000	2.700000	2.700000	4	6.500000	34	1.300000	0	0	0	0	0	0	0	0	0	0	0
gMJ25	 ES	0	1	1	3.200000	0	0	0	0.010000	0.010000	0.032000	0	0	0	0	1	1	1	0
gMJ25	 PgE	95.200000	1	0	0	0	0	95.200000	0	0	0	0	0	0	0.989496	1	0	0	0
gMJ25	 S	3.500000	1	0	0	0	0	3.500000	0.010000	0	0	0	0	0	1	1	0	0	0
gMJ25	 SBb	0	2.600000	2.600000	6.500000	0.600000	0	0	0.026000	0.026000	0.065000	0.006000	0	0	0	1	1	1	1
gMJ25	 SPe	0	0	0.200000	0.400000	0	0	0	0	0.002000	0.004000	0	0	0	0	0	1	1	0
gMS20	 Bb	0	3.500000	21.300000	21.300000	21.300000	52.400000	0	0.035000	0.178000	0	0	0.311000	0	0	0	0	0	0
gMS20	 BbPe	0	21.500000	21.500000	21.500000	28.500000	0	0	0.215000	0	0	0.070000	0	0	0	0	0	0	1
gMS20	 BbE	0	1.200000	1.800000	1.800000	3	0	0	0.012000	0.018000	0.018000	0.030000	0	0	0	1	1	1	1
gMS20	 BbS	0	23	32.200000	32.200000	35.500000	47.600000	0	0.230000	0.108000	0	0.033000	0.121000	0	0	0.069565	0	0	0
gMS20	 Pe	0	0.500000	1	1	0	0	0	0.005000	0.010000	0.010000	0	0	0	0	1	1	1	0
gMS20	 PeBb	0	12	12	9.600000	8.700000	0	0	0.120000	0.120000	0	0	0	0	0	1	0.200000	0.093750	1
gMS20	 PePg	0	0	0	1.600000	0	0	0	0	0	0.016000	0	0	0	0	0	0	1	0
gMS20	 EBb	0	1.200000	1.800000	1.800000	3	0	0	0	0	0	0	0	0	0	1	1	1	1
gMS20	 EPe	3	1.500000	1.500000	0.500000	0.500000	0	3	0	0	0	0	0	0	0.500000	0	0.666667	0	1
gMS20	 EPg	0	0	0	1.300000	0	0	0	0	0	0.013000	0	0	0	0	0	0	1	0
gMS20	 PgPe	0	0	0	1.300000	0	0	0	0	0	0.013000	0	0	0	0	0	0	1	0
gMS20	 PgE	70	28.400000	0.300000	0	0	0	70	0	0	0	0	0	0	0.594286	0.989437	1	0	0
gMS20	 S	27	0	0	0	0	0	27	0	0	0	0	0	0	1	0	0	0	0
gMS20	 SBb	0	6.200000	6.200000	5.800000	0.500000	0	0	0.062000	0.062000	0.005000	0.005000	0	0	0	1	0.145161	1	1
gMS20	 SPe	0	2.200000	2.200000	2.100000	2	0	0	0.022000	0.022000	0.021000	0.020000	0	0	0	1	1	1	1
