SoilIndex	wBirch	bSpruce	jPine	tAspen	bFir
10412	0	0	0	121	0
10415	0	0	0	122	0
10418	120	0	0	124	128
10421	117	146	61	116	128
412	0	0	0	0	0
415	0	0	0	106	0
418	0	0	0	111	0
421	0	103	0	106	101
11412	0	0	0	126	0
11415	113	0	0	124	129
11418	124	146	0	125	133
11421	122	146	94	117	131
1412	0	0	0	108	0
1415	0	0	0	113	0
1418	0	110	0	115	102
1421	61	144	63	109	115
12412	73	0	0	128	83
12415	122	132	0	126	137
12418	127	146	56	126	136
12421	124	146	105	118	133
2412	0	0	0	116	0
2415	0	0	0	116	64
2418	75	141	0	117	116
2421	79	146	83	111	119
10212	0	0	0	122	0
10215	0	0	0	123	97
10218	122	111	0	124	129
10221	119	146	75	117	129
212	0	0	0	0	0
215	0	0	0	108	0
218	0	0	0	112	0
221	0	113	0	107	106
11212	0	0	0	127	0
11215	117	0	0	125	131
11218	125	146	0	126	134
11221	123	146	100	118	132
1212	0	0	0	111	0
1215	0	0	0	114	0
1218	57	119	0	116	108
1221	66	146	72	109	117
12212	85	0	0	129	92
12215	124	139	0	126	138
12218	128	146	69	127	137
12221	125	146	108	118	133
2212	0	0	0	117	0
2215	52	0	0	117	74
2218	79	146	0	118	119
2221	83	146	89	111	121
10312	0	0	0	111	0
10315	0	0	0	116	0
10318	88	0	0	119	112
10321	98	94	0	112	119
312	0	0	0	0	0
315	0	0	0	0	0
318	0	0	0	94	0
321	0	0	0	95	0
11312	0	0	0	120	0
11315	0	0	0	120	99
11318	111	111	0	121	125
11321	111	138	0	114	124
1312	0	0	0	0	0
1315	0	0	0	100	0
1318	0	0	0	105	0
1321	0	101	0	101	91
12312	0	0	0	124	0
12315	88	0	0	122	122
12318	117	141	0	123	129
12321	116	146	70	115	127
2312	0	0	0	97	0
2315	0	0	0	107	0
2318	42	98	0	109	87
2321	53	121	0	104	104
10112	0	0	0	0	0
10115	0	0	0	104	0
10118	0	0	0	110	0
10121	0	0	0	106	91
112	0	0	0	0	0
115	0	0	0	0	0
118	0	0	0	0	0
121	0	0	0	69	0
11112	0	0	0	107	0
11115	0	0	0	112	0
11118	0	0	0	114	101
11121	79	92	0	108	112
1112	0	0	0	0	0
1115	0	0	0	0	0
1118	0	0	0	79	0
1121	0	0	0	83	51
12112	0	0	0	115	0
12115	0	0	0	115	85
12118	83	94	0	117	116
12121	94	112	0	110	116
2112	0	0	0	0	0
2115	0	0	0	81	0
2118	0	0	0	92	0
2121	0	83	0	92	72
