Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120	Species	LandUnit	IndexTranslate		
91	0	3	3	3	2	0	9	1	0	 Bb	FE32
93	0	0	0	0	0	0	11	1	91	 BbPe	FE32
96	0	0	0	0	0	0	14	1	91	 BbS	FE32
100	0	0	0	0	0	0	18	1	101	 Pe	FE32
101	0	0	0	0	0	0	19	1	91	 PeBb	FE32
114	0	97	97	97	98	100	32	1	0	 ES	FE32
121	100	0	0	0	0	0	39	1	0	 PgE	FE32
173	0	14	19	19.5	30	100	9	2	0	 Bb	MJ12
175	0	0	1.1	1.2	0	0	11	2	0	 BbPe	MJ12
178	0	78.6	71	57	57	0	14	2	0	 BbS	MJ12
182	0	0	0	0	0	0	18	2	183	 Pe	MJ12
183	0	0.4	0.4	6	0	0	19	2	0	 PeBb	MJ12
191	0	0	0	0	0	0	27	2	196	 E	MJ12
196	0	7	7	13	13	0	32	2	0	 ES	MJ12
203	100	0	0	0	0	0	39	2	0	 PgE	MJ12
210	0	0	1.5	3.3	0	0	46	2	0	 SBb	MJ12
255	0	14	16.7	23.5	31.5	18.5	9	3	0	 Bb	MJ22
257	0	8	8	8	27	27	11	3	0	 BbPe	MJ22
258	0	0.1	0.3	0.6	0.8	0.8	12	3	0	 BbE	MJ22
259	0	0	0	0	0	0	13	3	255	 BbPg	MJ22
260	0	67.7	67.7	57.1	33.2	9.6	14	3	0	 BbS	MJ22
264	0	0	0.3	0.7	0.7	0.7	18	3	0	 Pe	MJ22
265	0	2.8	2.8	4	5.4	43.4	19	3	0	 PeBb	MJ22
267	0	0	0	0	0	0	21	3	275	 PeE	MJ22
269	0	0	0.1	0.1	0	0	23	3	0	 PeS	MJ22
273	0	0.1	0.1	0.2	0	0	27	3	0	 E	MJ22
274	0	0	0	0	0	0	28	3	258	 EBb	MJ22
275	12.4	0	0	0	0	0	29	3	0	 EPe	MJ22
278	0	2.2	2.2	3.9	0.6	0	32	3	0	 ES	MJ22
282	1.8	0	0	0	0	0	36	3	0	 Pg	MJ22
285	84.7	3	0	0	0.1	0	39	3	0	 PgE	 ImperfectDrainage
291	1.1	0.3	0	0	0	0	45	3	0	 S	MJ22
292	0	1.6	1.6	1.6	0.6	0	46	3	0	 SBb	MJ22
293	0	0.2	0.2	0.1	0	0	47	3	0	 SPe	MJ22
294	0	0	0	0.2	0.1	0	48	3	0	 SE	MJ22
337	0	8.4	8.4	8.4	15	15	9	4	0	 Bb	MJ25
339	0	4.5	4.5	4.5	24	29.3	11	4	0	 BbPe	MJ25
342	0	78.8	80.6	73	53.9	21.7	14	4	0	 BbS	MJ25
346	0	0	0	0	0	0	18	4	347	 Pe	MJ25
347	1.3	2.7	2.7	4	6.5	34	19	4	0	 PeBb	MJ25
355	0	0	0	0	0	0	27	4	360	 E	MJ25
357	0	0	0	0	0	0	29	4	347	 EPe	MJ25
360	0	1	1	3.2	0	0	32	4	0	 ES	MJ25
367	95.2	1	0	0	0	0	39	4	0	 PgE	MJ25
373	3.5	1	0	0	0	0	45	4	0	 S	MJ25
374	0	2.6	2.6	6.5	0.6	0	46	4	0	 SBb	MJ25
375	0	0	0.2	0.4	0	0	47	4	0	 SPe	MJ25
419	0	3.5	21.3	21.3	21.3	52.4	9	5	0	 Bb	MS20
421	0	21.5	21.5	21.5	28.5	0	11	5	0	 BbPe	MS20
422	0	1.2	1.8	1.8	3	0	12	5	0	 BbE	MS20
424	0	23	32.2	32.2	35.5	47.6	14	5	0	 BbS	MS20
428	0	0.5	1	1	0	0	18	5	0	 Pe	MS20
429	0	12	12	9.6	8.7	0	19	5	0	 PeBb	MS20
432	0	0	0	1.6	0	0	22	5	0	 PePg	MS20
438	0	0	0	0	0	0	28	5	422	 EBb	MS20
439	3	1.5	1.5	0.5	0.5	0	29	5	0	 EPe	MS20
441	0	0	0	1.3	0	0	31	5	0	 EPg	MS20
448	0	0	0	1.3	0	0	38	5	0	 PgPe	MS20
449	70	28.4	0.3	0	0	0	39	5	0	 PgE	MS20
455	27	0	0	0	0	0	45	5	0	 S	MS20
456	0	6.2	6.2	5.8	0.5	0	46	5	0	 SBb	MS20
457	0	2.2	2.2	2.1	2	0	47	5	0	 SPe	MS20
501	0	3	9.1	11.2	19.3	17.3	9	6	0	 Bb	MS21
503	0	27.2	27.2	27.2	27.2	27.2	11	6	0	 BbPe	MS21
504	0	0	0	0	0	0	12	6	501	 BbE	MS21
506	0	42	45.5	45.5	45.5	48	14	6	0	 BbS	MS21
510	0	1	2.5	0.3	0	0	18	6	0	 Pe	MS21
511	0	15	9.3	7.5	7.5	7.5	19	6	0	 PeBb	MS21
513	0	0	0	0	0	0	21	6	510	 PeE	MS21
514	0	0	0	0	0	0	22	6	530	 PePg	MS21
515	0	0	0	1.3	0	0	23	6	0	 PeS	MS21
521	2	1	0	0	0	0	29	6	0	 EPe	MS21
528	0	0	0	0	0	0	36	6	531	 Pg	MS21
529	0	0	0	0	0	0	37	6	530	 PgBb	MS21
530	0	0	0	4	0	0	38	6	0	 PgPe	MS21
531	92.1	4	0	0	0	0	39	6	0	 PgE	MS21
537	5.9	1	0	0	0	0	45	6	0	 S	MS21
538	0	4	4.4	2.2	0	0	46	6	0	 SBb	MS21
539	0	1.8	0.9	0.8	0.5	0	47	6	0	 SPe	MS21
540	0	0	1.1	0	0	0	48	6	0	 SE	MS21
583	0	12	34.6	25	25	25	9	7	0	 Bb	MS22
585	0.8	24.8	24.8	24.8	24.8	29.5	11	7	0	 BbPe	MS22
586	0	0.4	0.5	1.1	0.8	0	12	7	0	 BbE	MS22
587	0	0	0	0	0	0	13	7	611	 BbPg	MS22
588	0.2	22	22	20.6	20.6	16.3	14	7	0	 BbS	MS22
592	0	1	1.1	5	1.6	0	18	7	0	 Pe	MS22
593	0.6	13.3	13.3	20	24	27.7	19	7	0	 PeBb	MS22
595	0.5	0.5	0.5	0.5	0.5	0	21	7	0	 PeE	MS22
596	0.7	0.6	0.6	0.5	0	0	22	7	0	 PePg	MS22
597	0	0.2	0.2	0.2	0.3	0	23	7	0	 PeS	MS22
601	0	0	0	0.2	0.1	0	27	7	0	 E	MS22
602	0	0.1	0.1	0.1	0.1	0	28	7	0	 EBb	MS22
603	4.8	0	0	0	0	0	29	7	0	 EPe	MS22
605	0	0	0	0	0	0	31	7	601	 EPg	MS22
606	0	0	0	0	0	0	32	7	601	 ES	MS22
610	0.7	0	0	0	0	0	36	7	0	 Pg	MS22
611	0	0	0	0	0.5	0	37	7	0	 PgBb	MS22
612	0.3	0.3	0.3	0.2	0	0	38	7	0	 PgPe	MS22
613	68.2	15	0	0	0.1	0	39	7	0	 PgE	MS22
619	23.2	1	0	0.1	0	0	45	7	0	 S	MS22
620	0	5.8	1.8	1.5	1.5	1.5	46	7	0	 SBb	MS22
621	0	3	0.2	0.2	0.1	0	47	7	0	 SPe	MS22
622	0	0	0	0	0	0	48	7	619	 SE	MS22
623	0	0	0	0	0	0	49	7	619	 SPg	MS22
665	0	7.2	8	10.2	10.6	36.3	9	8	0	 Bb	MS25
667	0	8.2	13	15.1	28.7	28.7	11	8	0	 BbPe	MS25
668	0	0	0	0	0	0	12	8	665	 BbE	MS25
670	0	51.3	57.1	48.2	42.5	35	14	8	0	 BbS	MS25
674	0	0	0	0	0	0	18	8	675	 Pe	MS25
675	1.2	15.7	16.3	16.3	15.3	0	19	8	0	 PeBb	MS25
679	0	0	0	0	0	0	23	8	675	 PeS	MS25
694	0	0	0	3.6	0	0	38	8	0	 PgPe	MS25
695	43.4	8.3	0	0	0	0	39	8	0	 PgE	MS25
701	55.4	0	0	0	0	0	45	8	0	 S	MS25
702	0	8.4	4.5	4.5	0.8	0	46	8	0	 SBb	MS25
703	0	0.9	1.1	2.1	2.1	0	47	8	0	 SPe	MS25
747	0	0	0	0	0	0	9	9	749	 Bb	RE20
749	0	0	0.3	0.1	0	0	11	9	0	 BbPe	RE20
750	0	0	0	0	0	0	12	9	766	 BbE	RE20
757	0	0	0	0.1	0.4	0	19	9	0	 PeBb	RE20
759	0	0	0	0	0	0	21	9	757	 PeE	RE20
761	0	0	0	0	0	0	23	9	785	 PeS	RE20
765	0	40.5	57.3	57.3	57.3	83.7	27	9	0	 E	RE20
766	0	0	0.2	0.1	0	0	28	9	0	 EBb	RE20
767	1.6	0	0	0	0	0	29	9	0	 EPe	RE20
769	0	7	15.8	14.6	14.3	11	31	9	0	 EPg	RE20
770	0	0.3	0.2	0.2	0.2	0	32	9	0	 ES	RE20
772	0	0	0	0	0	0	34	9	765	 EMe	RE20
774	2.9	5.5	5.5	7.5	8.2	0.2	36	9	0	 Pg	RE20
775	0	0	0	0.2	0	0	37	9	0	 PgBb	RE20
777	94.4	45	19.7	18.9	18.9	5.1	39	9	0	 PgE	RE20
781	0	0	0	0	0	0	43	9	774	 PgMe	RE20
783	1.1	1	0	0	0	0	45	9	0	 S	RE20
784	0	0	0	0.1	0	0	46	9	0	 SBb	RE20
785	0	0	0.3	0.2	0	0	47	9	0	 SPe	RE20
786	0	0.7	0.7	0.7	0.7	0	48	9	0	 SE	RE20
787	0	0	0	0	0	0	49	9	786	 SPg	RE20
829	0	0	0	0	0	0	9	10	866	 Bb	RE21
834	0	0	0	0	0	0	14	10	866	 BbS	RE21
839	0	0	0	0	0	0	19	10	849	 PeBb	RE21
842	0	0	0	0	0	0	22	10	858	 PePg	RE21
847	0	25	33.7	36	39.5	62	27	10	0	 E	RE21
849	4	0.2	0.1	0.1	0.1	0	29	10	0	 EPe	RE21
851	0	17	13.8	11.5	10	9	31	10	0	 EPg	RE21
852	0	0.5	0	0	0	0	32	10	0	 ES	RE21
854	0	1.2	1.2	1.2	1.2	4	34	10	0	 EMe	RE21
856	27	24.6	24.6	24.6	24.6	10	36	10	0	 Pg	RE21
857	0	0	0	0	0	0	37	10	856	 PgBb	RE21
858	0.1	0.1	0.3	0.3	0.3	0	38	10	0	 PgPe	RE21
859	68.9	28	25.7	25.7	22.6	15	39	10	0	 PgE	RE21
863	0	0	0	0	0	0	43	10	856	 PgMe	RE21
865	0	0.4	0	0	0	0	45	10	0	 S	RE21
866	0	0.1	0.2	0.2	0	0	46	10	0	 SBb	RE21
867	0	0.5	0	0	0	0	47	10	0	 SPe	RE21
868	0	2.4	0.4	0.4	0.4	0	48	10	0	 SE	RE21
869	0	0	0	0	0	0	49	10	865	 SPg	RE21
872	0	0	0	0	1.3	0	52	10	0	 SMe	RE21
