Run	Year	Zone	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	VolHarvested	AreaHarvested	AreaAccessed	MeanVolPerHa	PercentOfTarget	MeanHarvestAge	KmPerM3Hauled	areaBurned
1	0	rSQ	46472.750000	68443.000000	62560.000000	68276.250000	42084.750000	0	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	rIM	6481.750000	7519.500000	11522.000000	15710.500000	4093.500000	0	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	rPA	5616.750000	5589.500000	11606.250000	15167.250000	5608.250000	0	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	rSQ	46472.750000	68443.000000	62560.000000	68276.250000	42084.750000	0	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137571.750000
1	5	rIM	6481.750000	7519.500000	11522.000000	15710.500000	4093.500000	0	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15694.250000
1	5	rPA	5616.750000	5589.500000	11606.250000	15167.250000	5608.250000	0	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16966.000000
1	10	rSQ	33615.000000	52107.750000	71649.250000	49853.750000	61230.000000	19381.000000	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95338.750000
1	10	rIM	2438.250000	6892.750000	12094.250000	11562.500000	9857.750000	2481.750000	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9229.250000
1	10	rPA	3935.000000	4294.000000	8585.500000	11305.750000	12644.500000	2823.250000	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13647.250000
1	15	rSQ	19221.000000	46250.000000	73056.500000	54389.500000	63300.000000	31619.750000	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106852.000000
1	15	rIM	499.000000	6719.750000	9442.750000	10768.500000	14329.000000	3568.250000	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4733.750000
1	15	rPA	2821.500000	4642.250000	6808.250000	12075.750000	13342.750000	3897.500000	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18040.250000
