Run	Year	StartEcoRegion	TargetSize	FinalSize
1	0	1	88.750000	0
1	0	1	54.750000	0
1	0	2	85.250000	0
1	0	1	68.500000	0
1	0	1	98.750000	0
1	0	1	51.750000	0
1	0	2	79.000000	0
1	5	1	61.500000	0
1	5	2	76.250000	0
1	5	2	65.000000	0
1	10	2	50.250000	0
1	10	1	62.250000	0
1	10	1	78.500000	0
1	10	2	65.000000	0
1	15	2	85.000000	0
1	15	1	65.250000	0
1	20	2	66.500000	0
1	20	2	90.000000	0
1	20	2	80.250000	0
1	20	1	57.500000	0
1	20	1	63.250000	0
1	20	1	94.250000	0
1	20	2	94.750000	0
1	25	1	92.250000	0
1	25	2	90.000000	0
1	30	1	58.250000	0
1	30	2	65.000000	0
1	30	1	98.250000	0
1	30	2	74.750000	0
1	35	2	64.500000	0
1	35	2	59.250000	0
1	40	1	94.500000	0
1	40	1	93.250000	0
1	40	2	98.250000	0
1	40	2	85.500000	0
1	40	2	53.750000	0
1	40	1	59.500000	0
1	40	2	96.750000	0
1	45	1	77.000000	0
1	45	1	71.250000	0
1	45	1	56.750000	0
1	45	1	77.250000	0
1	55	1	91.500000	0
1	55	1	67.750000	0
1	55	1	61.250000	0
1	55	2	97.250000	0
1	55	1	70.250000	0
1	55	2	93.500000	0
1	55	2	57.250000	0
1	55	2	70.000000	0
1	55	1	73.500000	0
1	60	1	50.500000	0
1	60	1	60.500000	0
1	60	1	84.000000	0
1	60	1	87.000000	0
1	60	2	60.750000	0
1	60	2	76.250000	0
1	60	2	93.250000	0
1	60	2	65.000000	0
1	60	2	79.250000	0
1	60	2	93.000000	0
1	60	1	92.500000	0
1	60	2	94.250000	0
1	60	1	85.000000	0
1	60	2	90.250000	0
1	60	1	54.000000	0
1	60	2	87.750000	0
1	60	1	82.500000	0
1	65	2	80.000000	0
1	65	2	56.250000	0
1	65	1	71.000000	0
1	70	1	54.750000	0
1	70	1	79.000000	0
1	70	2	76.250000	0
1	70	1	95.000000	0
1	70	2	98.750000	0
1	70	2	59.250000	0
1	75	1	67.500000	0
1	75	1	70.500000	0
1	75	2	57.750000	0
1	80	1	82.250000	0
1	80	2	88.500000	0
1	80	2	60.250000	0
1	80	2	54.000000	0
1	80	1	80.250000	0
1	80	2	95.750000	0
