SuccGrp	AC	FromSpp	ToSpp	pTrans	contag	pctChange
gFE32	1	 ES	 Bb	0.030000	0	0
gFE32	1	 ES	 ES	0.970000	0	0
gFE32	2	 ES	 Bb	0.030000	0	0
gFE32	3	 ES	 Bb	0.030000	0	0
gFE32	4	 ES	 Bb	0.020000	0	0
gFE32	4	 ES	 ES	0.010000	0	0
gFE32	5	 ES	 ES	0.020000	0	0
gMJ12	1	 PeBb	 Bb	0.140562	1	0.401606
gMJ12	1	 PeBb	 BbS	0.789157	0.500000	0.401606
gMJ12	1	 PeBb	 PeBb	0.000281	0	-92.971888
gMJ12	1	 PeBb	 ES	0.070000	0	0
gMJ12	1	 ES	 Bb	0.140000	0	0
gMJ12	1	 ES	 BbS	0.845161	0.500000	7.526882
gMJ12	1	 ES	 PeBb	0.004000	0	0
gMJ12	1	 ES	 ES	0.010839	0	-84.516129
gMJ12	2	 PeBb	 Bb	0.050201	1	0.401606
gMJ12	2	 PeBb	 BbPe	0.011044	1	0.401606
gMJ12	2	 PeBb	 PeBb	0.003698	0	-7.552163
gMJ12	2	 PeBb	 ES	0.006000	0	0
gMJ12	2	 PeBb	 SBb	0.015057	0.500000	0.380711
gMJ12	2	 ES	 Bb	0.050000	0	0
gMJ12	2	 ES	 BbPe	0.011000	0	0
gMJ12	2	 ES	 PeBb	0.004000	0	0
gMJ12	2	 ES	 ES	0.005943	0	-0.951777
gMJ12	2	 ES	 SBb	0.015057	0.500000	0.380711
gMJ12	2	 SBb	 Bb	0.050761	1	1.522843
gMJ12	2	 SBb	 BbPe	0.011042	0.500000	0.380711
gMJ12	2	 SBb	 PeBb	0.004015	0.500000	0.380711
gMJ12	2	 SBb	 ES	0.006023	0.500000	0.380711
gMJ12	2	 SBb	 SBb	0.014159	0	-5.609137
gMJ12	3	 PeBb	 Bb	0.005025	1	0.502513
gMJ12	3	 PeBb	 BbPe	0.012146	1	1.214575
gMJ12	3	 PeBb	 PeBb	0.059303	0	-1.162451
gMJ12	3	 PeBb	 ES	0.070000	0	0
gMJ12	3	 PeBb	 SBb	0.033527	0.500000	1.595745
gMJ12	3	 ES	 Bb	0.005000	0	0
gMJ12	3	 ES	 BbPe	0.012000	0	0
gMJ12	3	 ES	 PeBb	0.060000	0	0
gMJ12	3	 ES	 ES	0.069379	0	-0.887097
gMJ12	3	 ES	 SBb	0.033621	0.500000	1.881720
gMJ12	3	 SBb	 Bb	0.005025	1	0.502513
