Run	Year	SEGroup	pBb	pC	pE	pMe	pPe	pPg	pS	pUnk	Bb	C	E	Me	Pe	Pg	S	Unk
1	0	0	0.364359	0.000158	0.273596	0.001697	0.071261	0.231679	0.057250	0	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	0	1	0.057007	0	0.915283	0	0.009730	0.017980	0	0	269.500000	0	4327.000000	0	46.000000	85.000000	0	0
1	0	2	0.787520	0	0.069085	0	0.017050	0.111288	0.015057	0	4445.750000	0	390.000000	0	96.250000	628.250000	85.000000	0
1	0	3	0.873195	0	0.023600	0	0.042470	0.045016	0.015717	0	57959.000000	0	1566.500000	0	2819.000000	2988.000000	1043.250000	0
1	0	4	0.895849	0	0.010620	0	0.034593	0.025279	0.033660	0	13201.000000	0	156.500000	0	509.750000	372.500000	496.000000	0
1	0	5	0.612472	0	0.016378	0	0.112472	0.156902	0.101775	0	3449.750000	0	92.250000	0	633.500000	883.750000	573.250000	0
1	0	6	0.783499	0	0.002968	0	0.114021	0.057676	0.041835	0	7060.500000	0	26.750000	0	1027.500000	519.750000	377.000000	0
1	0	7	0.513831	0	0.013572	0	0.164518	0.217929	0.090148	0	37442.250000	0	989.000000	0	11988.250000	15880.250000	6569.000000	0
1	0	8	0.668840	0	0	0	0.122237	0.084445	0.124478	0	3283.000000	0	0	0	600.000000	414.500000	611.000000	0
1	0	9	0.001766	0	0.682390	0	0.001850	0.307667	0.006327	0	73.750000	0	28499.000000	0	77.250000	12849.250000	264.250000	0
1	0	10	0.000605	0	0.336466	0.000223	0.000844	0.650633	0.011229	0	19.000000	0	10569.750000	7.000000	26.500000	20439.000000	352.750000	0
1	0	11	0	0	0.689283	0.068515	0	0.222185	0.020017	0	0	0	3624.250000	360.250000	0	1168.250000	105.250000	0
1	0	12	0.001706	0	0.843784	0.015882	0	0.129557	0.009071	0	30.000000	0	14836.250000	279.250000	0	2278.000000	159.500000	0
1	0	13	0.150181	0	0.368311	0	0.049479	0.348735	0.083294	0	2476.000000	0	6072.250000	0	815.750000	5749.500000	1373.250000	0
1	0	14	0.093300	0	0.369762	0	0.076249	0.316794	0.143894	0	1336.500000	0	5296.750000	0	1092.250000	4538.000000	2061.250000	0
1	0	15	0.129747	0	0.345058	0	0.109157	0.315527	0.100511	0	7120.750000	0	18937.500000	0	5990.750000	17316.750000	5516.250000	0
1	0	16	0.136371	0.002773	0.539887	0.000822	0.029660	0.164991	0.125496	0	2655.250000	54.000000	10512.000000	16.000000	577.500000	3212.500000	2443.500000	0
1	0	17	0.279314	0	0.191515	0	0.274663	0.187277	0.067232	0	1351.250000	0	926.500000	0	1328.750000	906.000000	325.250000	0
1	0	18	0	1	0	0	0	0	0	0	0	7.750000	0	0	0	0	0	0
1	0	19	0.190816	0	0.027642	0	0.353099	0.428444	0	0	107.000000	0	15.500000	0	198.000000	240.250000	0	0
1	5	0	0.364359	0.000158	0.273596	0.001697	0.071261	0.231679	0.057250	0	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	5	1	0.057007	0	0.915283	0	0.009730	0.017980	0	0	269.500000	0	4327.000000	0	46.000000	85.000000	0	0
1	5	2	0.787520	0	0.069085	0	0.017050	0.111288	0.015057	0	4445.750000	0	390.000000	0	96.250000	628.250000	85.000000	0
