AU	ac0	ac1	ac2	ac3	ac4	ac5	ac6	ac7	ac8	ac9	ac10	ac11	ac12	ac13	ac14	ac15	ac16	ac17	ac18	ac19	ac20	ac21	ac22	ac23	ac24	ac25	ac26	ac27	ac28	ac29	ac30
1	0	0	0	0	2.7719384	2.4617721	2.0114143	1.7006265	1.4731497	1.2994102	1.162362	1.0514843	0.9599299	0.88305	0.8175766	0.7611456	0.7120041	0.6688251	0.6305851	0.5964822	0.5658797	0.5382646	0.5132197	0.4904023	0.4695277	0.4503579	0.4326921	0.4163602	0.4012164	0.3871356	0.3740099
2	0	0	3.0660085	5.547986	3.9363587	3.053277	2.494709	2.1092463	1.8271123	1.6116273	1.4416497	1.3041309	1.1905781	1.0952257	1.0140207	0.9440306	0.8830817	0.8295277	0.7820996	0.7398027	0.701847	0.6675966	0.6365342	0.6082342	0.582344	0.558568	0.5366577	0.5164015	0.4976191	0.4801552	0.4638755
3	0	0	7.9797814	6.2130532	4.4082314	3.41929	2.7937633	2.3620932	2.0461382	1.8048218	1.6144681	1.4604641	1.3332992	1.2265164	1.1355768	1.0571967	0.9889415	0.9289678	0.875854	0.8284869	0.7859813	0.747625	0.712839	0.6811466	0.6521526	0.6255267	0.6009897	0.5783055	0.5572714	0.5377139	0.5194828
4	0	0	6.5264316	6.0163458	4.2686653	3.3110341	2.7053118	2.2873085	1.9813568	1.7476805	1.5633535	1.4142253	1.2910865	1.1876845	1.0996241	1.0237255	0.9576312	0.8995563	0.8481243	0.8022567	0.7610968	0.723955	0.6902703	0.6595812	0.6315053	0.6057222	0.5819623	0.559996	0.539628	0.5206897	0.5030358
5	0	0	10.8187675	6.5973031	4.6808611	3.6307579	2.9665452	2.5081782	2.1726828	1.9164421	1.7143158	1.5507874	1.4157579	1.302371	1.2058072	1.1225797	1.0501031	0.9864203	0.9300218	0.8797251	0.8345907	0.7938624	0.7569249	0.7232725	0.6924854	0.6642127	0.6381583	0.6140711	0.5917362	0.5709691	0.5516105
6	0	0	0	4.3717838	3.5775415	2.7749568	2.2673048	1.9169789	1.6605626	1.4647201	1.3102367	1.1852533	1.0820515	0.9953909	0.921588	0.8579779	0.8025847	0.7539125	0.7108076	0.6723663	0.6378704	0.6067422	0.5785111	0.5527909	0.5292606	0.507652	0.4877389	0.4693292	0.4522588	0.4363868	0.4215911
7	0	0	6.3240986	5.9889605	4.2492352	3.2959628	2.6929977	2.2768972	1.972338	1.7397254	1.5562374	1.407788	1.2852097	1.1822784	1.0946188	1.0190657	0.9532723	0.8954617	0.8442637	0.798605	0.7576324	0.7206597	0.6871283	0.6565789	0.6286308	0.6029651	0.5793133	0.5574471	0.5371717	0.5183196	0.5007461
8	0	3.8080306	12.5627877	7.3487598	5.214028	4.0443143	3.3044455	2.7938687	2.4201593	2.1347317	1.9095826	1.7274276	1.5770178	1.4507158	1.343153	1.2504456	1.1697137	1.0987771	1.0359546	0.979929	0.9296536	0.8842862	0.8431414	0.8056558	0.771362	0.7398689	0.7108469	0.6840159	0.6591371	0.6360046	0.6144409
9	0	0	0.6514723	5.2211843	3.7044892	2.8734251	2.3477593	1.9850021	1.7194871	1.5166951	1.35673	1.2273115	1.1204477	1.030712	0.9542902	0.8884229	0.8310642	0.7806647	0.7360303	0.696225	0.660505	0.6282722	0.5990394	0.5724065	0.5480412	0.5256658	0.5050461	0.4859832	0.468307	0.4518718	0.4365512
10	0	2.6583413	12.2166968	7.1463095	5.0703873	3.9328979	3.2134116	2.7169008	2.3534865	2.0759222	1.8569757	1.6798389	1.5335727	1.4107501	1.3061507	1.2159971	1.1374894	1.068507	1.0074152	0.952933	0.9040427	0.8599251	0.8199138	0.7834609	0.7501118	0.7194863	0.6912639	0.665172	0.6409786	0.6184834	0.5975137
11	0	0	10.3847024	6.5385535	4.6391775	3.5984256	2.9401278	2.4858427	2.1533348	1.899376	1.6990497	1.5369774	1.4031504	1.2907732	1.1950694	1.112583	1.0407519	0.9776361	0.9217398	0.8718911	0.8271586	0.786793	0.7501844	0.7168317	0.6863187	0.6582979	0.6324754	0.6086027	0.5864667	0.5658846	0.5466984
12	0	0	0	2.5979183	3.1737762	2.4617722	2.0114142	1.7006266	1.4731497	1.2994102	1.1623619	1.0514843	0.95993	0.88305	0.8175766	0.7611455	0.7120042	0.6688251	0.630585	0.5964823	0.5658797	0.5382646	0.5132197	0.4904023	0.4695277	0.4503578	0.4326922	0.4163601	0.4012164	0.3871357	0.3740099
13	0	0	6.0657647	5.547986	3.9363587	3.053277	2.4947089	2.1092464	1.8271123	1.6116273	1.4416497	1.3041308	1.1905782	1.0952257	1.0140207	0.9440306	0.8830817	0.8295277	0.7820995	0.7398028	0.701847	0.6675966	0.6365342	0.6082342	0.5823439	0.5585681	0.5366577	0.5164015	0.4976191	0.4801551	0.4638755
14	0	0.3582529	10.6212847	6.2130532	4.4082314	3.4192899	2.7937633	2.3620932	2.0461383	1.8048218	1.6144681	1.460464	1.3332993	1.2265164	1.1355768	1.0571967	0.9889415	0.9289677	0.8758541	0.8284869	0.7859812	0.7476251	0.712839	0.6811466	0.6521526	0.6255267	0.6009897	0.5783054	0.5572714	0.537714	0.5194827
15	0	0	9.5261877	6.0163459	4.2686653	3.311034	2.7053118	2.2873086	1.9813568	1.7476805	1.5633535	1.4142253	1.2910865	1.1876845	1.099624	1.0237256	0.9576312	0.8995563	0.8481242	0.8022568	0.7610968	0.723955	0.6902702	0.6595813	0.6315053	0.6057222	0.5819622	0.5599961	0.539628	0.5206897	0.5030358
16	0	2.5403595	11.2781642	6.5973031	4.680861	3.6307579	2.9665453	2.5081782	2.1726828	1.9164421	1.7143158	1.5507873	1.4157579	1.302371	1.2058073	1.1225796	1.0501032	0.9864203	0.9300217	0.8797252	0.8345907	0.7938624	0.7569249	0.7232725	0.6924854	0.6642127	0.6381583	0.6140711	0.5917361	0.5709692	0.5516105
17	0	0	2.3292783	5.0422616	3.5775416	2.7749568	2.2673047	1.9169789	1.6605627	1.46472	1.3102368	1.1852533	1.0820515	0.9953908	0.921588	0.857978	0.8025847	0.7539125	0.7108075	0.6723663	0.6378705	0.6067421	0.5785112	0.5527909	0.5292606	0.507652	0.4877389	0.4693291	0.4522589	0.4363867	0.4215912
18	0	0	9.3238547	5.9889606	4.2492351	3.2959629	2.6929977	2.2768971	1.972338	1.7397255	1.5562374	1.407788	1.2852097	1.1822784	1.0946187	1.0190657	0.9532723	0.8954617	0.8442638	0.7986049	0.7576325	0.7206597	0.6871283	0.6565789	0.6286308	0.6029651	0.5793133	0.557447	0.5371717	0.5183197	0.500746
19	0	6.8077867	12.5627878	7.3487598	5.214028	4.0443143	3.3044454	2.7938688	2.4201592	2.1347318	1.9095826	1.7274276	1.5770178	1.4507158	1.343153	1.2504455	1.1697137	1.0987771	1.0359547	0.979929	0.9296536	0.8842861	0.8431414	0.8056559	0.771362	0.7398689	0.7108468	0.684016	0.6591371	0.6360046	0.6144409
20	0	0	3.6512284	5.2211844	3.7044892	2.8734251	2.3477592	1.9850022	1.7194871	1.5166951	1.3567299	1.2273116	1.1204477	1.0307119	0.9542902	0.888423	0.8310641	0.7806648	0.7360303	0.696225	0.660505	0.6282722	0.5990394	0.5724064	0.5480413	0.5256658	0.5050461	0.4859831	0.4683071	0.4518718	0.4365511
21	0	5.6580974	12.2166968	7.1463095	5.0703873	3.932898	3.2134116	2.7169007	2.3534865	2.0759223	1.8569757	1.6798388	1.5335728	1.4107501	1.3061506	1.2159972	1.1374894	1.068507	1.0074152	0.952933	0.9040427	0.8599251	0.8199137	0.7834609	0.7501119	0.7194863	0.6912638	0.6651721	0.6409786	0.6184833	0.5975138
22	0	2.2067276	11.177731	6.5385534	4.6391775	3.5984257	2.9401278	2.4858426	2.1533349	1.8993759	1.6990497	1.5369774	1.4031504	1.2907733	1.1950694	1.112583	1.0407519	0.9776361	0.9217398	0.8718911	0.8271586	0.786793	0.7501844	0.7168316	0.6863188	0.6582978	0.6324755	0.6086027	0.5864667	0.5658846	0.5466983
23	0	0	0	0	1.0806944	2.4617721	2.0114143	1.7006265	1.4731497	1.2994102	1.1623619	1.0514844	0.9599299	0.88305	0.8175766	0.7611456	0.7120041	0.6688251	0.630585	0.5964823	0.5658797	0.5382646	0.5132197	0.4904023	0.4695277	0.4503578	0.4326922	0.4163601	0.4012164	0.3871357	0.3740099
24	0	0	1.3747645	5.547986	3.9363587	3.053277	2.4947089	2.1092464	1.8271123	1.6116273	1.4416497	1.3041308	1.1905782	1.0952257	1.0140207	0.9440306	0.8830817	0.8295277	0.7820996	0.7398027	0.701847	0.6675966	0.6365342	0.6082342	0.5823439	0.5585681	0.5366577	0.5164015	0.4976191	0.4801551	0.4638756
25	0	0	6.2885374	6.2130532	4.4082314	3.41929	2.7937632	2.3620933	2.0461382	1.8048218	1.6144681	1.4604641	1.3332992	1.2265164	1.1355768	1.0571967	0.9889415	0.9289677	0.8758541	0.8284869	0.7859812	0.7476251	0.712839	0.6811466	0.6521526	0.6255267	0.6009897	0.5783054	0.5572714	0.537714	0.5194828
