Run	Year	StartEcoRegion	TargetSize	FinalSize
1	0	2	68.500000	0
1	0	2	72.500000	0
1	0	1	51.750000	0
1	0	2	75.250000	0
1	0	2	67.750000	0
1	0	2	80.000000	0
1	5	2	90.750000	0
1	5	1	84.750000	0
1	5	1	55.750000	0
1	5	1	74.750000	0
1	5	2	68.500000	0
1	5	1	65.500000	0
1	10	1	97.500000	0
1	15	2	59.000000	0
1	15	2	79.750000	0
1	15	2	53.750000	0
1	15	2	93.750000	0
1	15	1	70.000000	0
1	15	1	53.250000	0
1	15	1	76.500000	0
1	15	1	76.500000	0
1	15	1	79.750000	0
1	15	2	54.000000	0
1	15	2	52.250000	0
1	20	1	84.750000	0
1	20	2	64.500000	0
1	20	2	67.750000	0
1	20	1	60.500000	0
1	20	1	85.250000	0
1	20	2	74.000000	0
1	20	2	92.250000	0
1	20	1	86.250000	0
1	20	1	73.750000	0
1	25	1	81.750000	0
1	25	1	56.000000	0
1	25	2	97.500000	0
1	25	2	76.500000	0
1	25	2	67.500000	0
1	25	2	61.750000	0
1	25	1	82.000000	0
1	25	1	85.000000	0
1	25	1	61.750000	0
1	25	1	91.750000	0
1	25	2	75.500000	0
1	25	1	54.250000	0
1	25	1	95.500000	0
1	25	2	61.250000	0
1	25	1	56.000000	0
1	30	1	62.500000	0
1	30	1	81.500000	0
1	30	1	83.250000	0
1	30	1	75.000000	0
1	30	2	60.750000	0
1	30	2	94.250000	0
1	35	1	78.250000	0
1	35	1	59.750000	0
1	35	2	64.500000	0
1	35	2	66.750000	0
1	35	2	84.250000	0
1	40	1	57.500000	0
1	40	2	80.250000	0
1	45	1	52.250000	0
1	45	1	88.000000	0
1	45	2	65.750000	0
1	45	2	96.500000	0
1	50	1	88.750000	0
1	50	2	65.750000	0
1	50	1	85.000000	0
1	50	1	58.750000	0
1	50	2	50.750000	0
1	50	2	97.250000	0
1	50	2	70.250000	0
1	50	2	61.750000	0
1	50	2	63.500000	0
1	50	2	68.250000	0
1	55	2	79.750000	0
1	60	2	82.250000	0
1	65	1	80.250000	0
1	65	1	84.250000	0
1	65	1	73.500000	0
1	70	1	62.250000	0
1	70	2	62.000000	0
1	70	2	59.500000	0
1	70	1	93.000000	0
1	70	1	70.250000	0
1	75	2	64.750000	0
1	80	1	93.250000	0
1	80	1	52.500000	0
1	80	1	81.000000	0
1	80	2	52.250000	0
1	85	1	55.500000	0
1	85	1	64.750000	0
1	85	1	57.000000	0
1	90	1	55.000000	0
1	90	2	87.500000	0
1	90	1	90.750000	0
1	90	1	68.000000	0
1	90	1	61.750000	0
1	90	2	59.250000	0
1	95	1	91.250000	0
1	95	2	95.000000	0
1	95	1	60.000000	0
1	95	1	61.250000	0
1	95	1	89.250000	0
1	95	2	85.000000	0
1	100	1	96.500000	0
1	100	2	58.500000	0
1	100	2	58.000000	0
1	100	2	89.750000	0
1	100	2	54.750000	0
1	100	2	56.500000	0
1	100	1	95.750000	0
1	100	2	64.250000	0
1	100	2	50.250000	0
1	100	2	68.000000	0
1	100	1	94.750000	0
1	100	1	76.000000	0
1	105	2	54.750000	0
1	105	2	69.000000	0
1	110	1	58.250000	0
1	110	2	85.000000	0
1	110	2	88.250000	0
1	110	1	92.750000	0
1	115	1	98.500000	0
1	115	2	65.500000	0
1	115	2	61.500000	0
1	115	2	84.000000	0
1	115	2	76.000000	0
1	120	1	89.000000	0
1	120	2	84.000000	0
1	120	2	79.750000	0
1	125	2	97.250000	0
1	125	1	80.750000	0
1	125	1	92.750000	0
1	130	1	98.500000	0
1	130	1	83.500000	0
1	130	1	78.500000	0
1	130	1	96.750000	0
1	130	1	80.000000	0
1	130	2	70.250000	0
1	130	1	82.750000	0
1	130	1	52.500000	0
1	130	1	89.000000	0
1	130	1	62.750000	0
1	130	2	76.750000	0
1	130	2	59.750000	0
1	140	2	50.750000	0
1	140	2	80.500000	0
1	140	1	81.250000	0
1	140	1	86.250000	0
1	140	2	75.750000	0
1	140	1	64.250000	0
1	145	1	61.000000	0
1	145	1	63.000000	0
1	145	2	91.750000	0
1	145	2	53.000000	0
1	145	1	95.000000	0
1	150	1	56.750000	0
1	150	1	94.250000	0
1	150	1	92.750000	0
1	150	2	77.750000	0
1	150	1	72.250000	0
1	150	1	60.250000	0
1	150	1	64.500000	0
1	150	2	99.750000	0
1	150	1	84.250000	0
1	150	1	78.500000	0
1	150	1	57.750000	0
1	150	2	79.000000	0
1	155	2	74.250000	0
1	160	2	75.250000	0
1	160	1	59.500000	0
1	160	2	61.500000	0
1	160	1	57.250000	0
1	160	1	88.250000	0
1	160	1	54.750000	0
1	160	2	66.250000	0
1	160	2	56.000000	0
1	170	1	96.500000	0
1	170	1	73.250000	0
1	170	1	67.000000	0
1	170	2	95.750000	0
1	170	1	71.250000	0
1	170	2	51.500000	0
1	175	1	54.500000	0
1	175	1	67.500000	0
1	180	2	62.750000	0
1	180	2	69.250000	0
