Run	Year	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	areaBurned
1	0	58571.250000	81552.000000	85688.250000	99154.000000	51786.500000	0	13742.500000	0	0	0	0	0	0	0	0	0	0
1	5	58571.250000	81552.000000	85688.250000	99154.000000	51786.500000	0	13742.500000	0	0	0	0	0	0	0	0	0	176445.250000
1	10	37061.750000	70483.750000	90010.250000	78666.000000	79032.250000	21498.000000	13742.500000	0	0	0	0	0	0	0	0	0	123087.750000
1	15	19710.750000	60046.500000	89111.750000	75307.000000	92631.250000	39944.750000	13742.500000	0	0	0	0	0	0	0	0	0	112791.750000
1	20	10110.000000	58976.250000	79279.000000	81360.500000	100466.500000	46559.750000	8946.250000	4796.250000	0	0	0	0	0	0	0	0	74462.250000
1	25	6305.250000	58766.250000	79964.250000	83161.250000	99940.750000	48614.250000	6487.250000	7255.250000	0	0	0	0	0	0	0	0	192844.750000
1	30	1810.750000	52719.750000	74685.000000	85374.250000	86586.000000	67003.000000	12354.000000	9961.750000	0	0	0	0	0	0	0	0	85189.500000
1	35	1069.000000	45985.250000	64871.750000	86925.750000	81715.500000	76986.250000	21753.250000	11187.750000	0	0	0	0	0	0	0	0	164211.500000
1	40	578.500000	39200.000000	59793.000000	84057.000000	80882.750000	85601.250000	28394.000000	10037.250000	1950.750000	0	0	0	0	0	0	0	160478.250000
1	45	298.500000	30758.500000	56022.500000	83731.250000	79902.250000	91372.750000	35769.500000	8466.000000	4173.250000	0	0	0	0	0	0	0	121896.750000
1	50	133.500000	21881.250000	51678.000000	76403.750000	80587.000000	89187.500000	52245.500000	11819.250000	6558.750000	0	0	0	0	0	0	0	62240.750000
1	55	4.250000	11415.000000	47025.250000	69153.750000	82053.500000	89839.750000	64151.500000	17942.250000	8909.250000	0	0	0	0	0	0	0	0
1	60	1.250000	7800.750000	41821.000000	61431.750000	81525.000000	85409.750000	76270.250000	26016.250000	8544.750000	1673.750000	0	0	0	0	0	0	72655.750000
1	65	0.250000	5522.750000	38251.000000	57447.250000	80124.000000	83416.750000	84091.000000	30747.250000	7405.250000	3489.000000	0	0	0	0	0	0	156667.250000
1	70	0	2560.500000	32579.500000	54787.500000	75494.000000	78390.500000	85734.750000	45546.500000	10228.500000	5172.750000	0	0	0	0	0	0	100615.750000
1	75	0	1213.250000	25187.750000	50933.750000	71176.750000	78101.000000	88695.500000	54256.000000	14417.250000	6513.250000	0	0	0	0	0	0	109650.250000
1	80	0	796.000000	20056.750000	46481.500000	65436.750000	77573.750000	89464.000000	63097.000000	19526.500000	6930.750000	1131.500000	0	0	0	0	0	99508.250000
1	85	0	565.750000	15689.500000	43162.750000	59708.750000	76668.750000	89925.000000	70842.250000	24718.250000	6652.500000	2561.000000	0	0	0	0	0	110468.250000
1	90	0	105.250000	9464.750000	37444.500000	55046.250000	74546.750000	85216.500000	77431.750000	38127.250000	9036.750000	4074.750000	0	0	0	0	0	0
1	95	0	47.000000	6290.250000	33046.250000	51296.750000	68469.500000	81244.500000	83327.000000	48411.250000	12684.000000	5678.000000	0	0	0	0	0	96796.500000
1	100	0	20.750000	4433.250000	29109.750000	47752.000000	61827.750000	80206.500000	87780.250000	55502.000000	16545.500000	6291.000000	1025.750000	0	0	0	0	112498.750000
