Run	Year	Zone	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	VolHarvested	AreaHarvested	AreaAccessed	MeanVolPerHa	PercentOfTarget	MeanHarvestAge	KmPerM3Hauled	areaBurned
1	0	rSQ	46472.750000	68443.000000	62560.000000	68276.250000	42084.750000	0	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	rIM	6481.750000	7519.500000	11522.000000	15710.500000	4093.500000	0	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	rPA	5616.750000	5589.500000	11606.250000	15167.250000	5608.250000	0	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	rSQ	46472.750000	68443.000000	62560.000000	68276.250000	42084.750000	0	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137903.500000
1	5	rIM	6481.750000	7519.500000	11522.000000	15710.500000	4093.500000	0	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15196.500000
1	5	rPA	5616.750000	5589.500000	11606.250000	15167.250000	5608.250000	0	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23345.250000
1	10	rSQ	30820.250000	57130.250000	68409.750000	56075.000000	57912.500000	17489.000000	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97022.250000
1	10	rIM	2608.250000	8121.250000	11717.500000	11534.750000	9632.750000	1712.750000	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17618.750000
1	10	rPA	3633.250000	5232.250000	9883.000000	11056.250000	11487.000000	2296.250000	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8446.750000
1	15	rSQ	17477.000000	48413.000000	71559.500000	53421.000000	65166.250000	31800.000000	9887.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99559.500000
1	15	rIM	637.500000	6597.750000	9626.250000	11122.500000	13575.500000	3767.750000	769.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.500000
1	15	rPA	1596.250000	5035.750000	7926.000000	10763.500000	13889.500000	4377.000000	3085.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13088.750000
