Run	Year	Bb	C	E	Me	Pe	Pg	S	Unk
1	0	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	5	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	10	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	15	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	20	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	25	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	30	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	35	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	40	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	45	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	50	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	55	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	60	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	65	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	70	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	75	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	80	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	85	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	90	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	95	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
1	100	142280.250000	61.750000	106837.750000	662.500000	27827.000000	90469.500000	22355.750000	0
