Run	Year	StartEcoRegion	TargetSize	FinalSize
1	0	1	54.000000	0
1	0	2	67.750000	0
1	0	2	84.500000	0
1	0	2	64.750000	0
1	0	2	97.000000	0
1	0	1	85.000000	0
1	0	2	65.500000	0
1	0	2	72.250000	0
1	0	2	75.500000	0
1	0	2	57.250000	0
1	0	2	94.250000	0
1	0	2	75.750000	0
1	0	1	64.500000	0
1	5	2	99.250000	0
1	5	2	62.500000	0
1	5	2	55.750000	0
1	5	2	98.500000	0
1	5	1	77.500000	0
1	5	2	81.250000	0
1	10	2	86.250000	0
1	10	2	99.750000	0
1	10	2	99.750000	0
1	10	2	92.000000	0
1	15	2	62.750000	0
1	20	2	65.250000	0
1	20	1	95.500000	0
1	20	1	72.000000	0
1	20	2	70.750000	0
1	20	2	72.750000	0
1	20	2	77.750000	0
1	20	1	74.250000	0
1	20	1	66.000000	0
1	20	1	58.750000	0
1	20	2	55.250000	0
1	20	1	69.250000	0
1	20	2	65.000000	0
1	20	1	64.500000	0
1	20	1	71.250000	0
1	20	2	97.000000	0
1	25	1	97.750000	0
1	25	2	61.250000	0
1	30	1	58.000000	0
1	30	2	64.000000	0
1	30	2	97.250000	0
1	30	2	65.500000	0
1	30	1	96.000000	0
1	30	1	85.250000	0
1	30	2	50.250000	0
1	30	1	62.500000	0
1	30	1	52.750000	0
1	35	1	87.000000	0
1	40	1	88.500000	0
1	40	2	74.500000	0
1	40	2	73.000000	0
1	40	2	75.250000	0
1	45	2	68.500000	0
1	45	2	64.000000	0
1	45	2	80.250000	0
1	55	2	60.250000	0
1	55	2	63.250000	0
1	55	2	53.750000	0
1	60	2	85.500000	0
1	60	2	88.000000	0
1	65	1	94.750000	0
1	65	1	59.500000	0
1	65	1	74.250000	0
1	70	1	80.750000	0
1	70	1	98.000000	0
1	75	2	72.750000	0
1	75	2	54.750000	0
1	75	2	65.750000	0
1	80	1	88.500000	0
1	80	2	51.000000	0
1	80	2	96.500000	0
1	80	1	66.250000	0
1	80	1	58.500000	0
1	80	2	88.500000	0
1	80	2	71.000000	0
1	80	1	55.750000	0
1	90	2	82.500000	0
1	95	1	93.500000	0
1	95	2	71.750000	0
1	95	2	77.750000	0
1	95	2	56.250000	0
1	100	1	82.750000	0
1	100	1	75.750000	0
1	100	1	69.500000	0
1	100	1	63.250000	0
1	100	1	83.000000	0
1	100	1	82.000000	0
1	100	2	87.500000	0
1	100	1	51.000000	0
1	100	1	85.500000	0
1	100	2	65.250000	0
1	100	1	71.250000	0
1	100	2	74.750000	0
1	100	2	67.000000	0
1	100	2	75.750000	0
1	100	2	76.750000	0
1	100	2	81.250000	0
1	100	2	93.750000	0
1	100	1	67.000000	0
1	100	2	93.000000	0
1	100	1	65.000000	0
1	100	1	51.750000	0
1	100	1	72.000000	0
1	100	1	57.000000	0
1	100	2	86.500000	0
1	100	1	92.750000	0
1	100	2	88.000000	0
1	100	1	91.500000	0
