SppId	StandType	SoilClass
Bb	Deciduous	0
BbPe	Mixed	0
BbE	Mixed	0
BbPg	Mixed	0
BbS	Mixed	0
Pe	Coniferous	3
PeBb	Mixed	3
PeE	Coniferous	3
PePg	Coniferous	3
PeS	Coniferous	3
E	Coniferous	1
EBb	Mixed	1
EPe	Coniferous	1
EPg	Coniferous	1
ES	Coniferous	1
EMe	Mixed	1
EC	Coniferous	1
Pg	Coniferous	2
PgBb	Mixed	2
PgPe	Coniferous	2
PgE	Coniferous	2
PgMe	Mixed	2
S	Coniferous	4
SBb	Mixed	4
SPe	Coniferous	4
SE	Coniferous	4
SPg	Coniferous	4
SMe	Mixed	4
SC	Coniferous	4
Me	Deciduous	4
MeE	Mixed	4
MePg	Mixed	4
C	Coniferous	1
CBb	Mixed	1
CE	Coniferous	1
CS	Coniferous	1
Unknown	0	0
