DensityID	probA	probB	probC	probD
1210	0.25	0.25	0.25	0.25
1200	0.56583	0.31027	0.08935	0.03455
1230	0.30626	0.39897	0.2124	0.08237
11210	0.37305	0.44842	0.13592	0.04262
11200	0.42925	0.44511	0.09629	0.02936
11230	0.21052	0.51864	0.20742	0.06342
21210	0.38206	0.48356	0.10549	0.02889
21200	0.43345	0.47325	0.07368	0.01962
21230	0.25	0.25	0.25	0.25
31210	0.41809	0.44687	0.10608	0.02896
31200	0.47176	0.43498	0.07369	0.01956
31230	0.25	0.25	0.25	0.25
41210	0.25	0.25	0.25	0.25
41200	0.48954	0.42311	0.07248	0.01487
41230	0.25	0.25	0.25	0.25
51210	0.25	0.25	0.25	0.25
51200	0.26451	0.60495	0.10772	0.02282
51230	0.25	0.25	0.25	0.25
2210	0.03772	0.25208	0.38395	0.32624
2200	0.25	0.25	0.25	0.25
2230	0.01538	0.21062	0.42328	0.35073
12210	0.02647	0.33446	0.38269	0.25639
12200	0.03759	0.40978	0.33464	0.21799
12230	0.01092	0.28291	0.42712	0.27905
22210	0.03157	0.42006	0.34594	0.20243
22200	0.04336	0.49769	0.29252	0.16643
22230	0.01337	0.36452	0.39609	0.22602
32210	0.03549	0.39875	0.35732	0.20844
32200	0.049	0.47495	0.30376	0.17229
32230	0.25	0.25	0.25	0.25
42210	0.25	0.25	0.25	0.25
42200	0.05394	0.49015	0.31698	0.13893
42230	0.25	0.25	0.25	0.25
52210	0.01485	0.41388	0.38982	0.18145
52200	0.02061	0.49553	0.3331	0.15076
52230	0.25	0.25	0.25	0.25
210	0.25	0.25	0.25	0.25
200	0.25	0.25	0.25	0.25
230	0.19018	0.49238	0.24172	0.07572
10210	0.23664	0.56532	0.15801	0.04002
10200	0.25	0.25	0.25	0.25
10230	0.12274	0.60091	0.22161	0.05474
20210	0.24194	0.60855	0.12243	0.02708
20200	0.28182	0.6115	0.0878	0.01888
20230	0.25	0.25	0.25	0.25
30210	0.27088	0.57539	0.12595	0.02778
30200	0.31445	0.57622	0.09002	0.0193
30230	0.25	0.25	0.25	0.25
40210	0.25	0.25	0.25	0.25
40200	0.25	0.25	0.25	0.25
40230	0.25	0.25	0.25	0.25
50210	0.12996	0.68477	0.15755	0.02772
50200	0.15578	0.70806	0.11627	0.01989
50230	0.25	0.25	0.25	0.25
1110	0.25	0.25	0.25	0.25
1100	0.25	0.25	0.25	0.25
1130	0.12301	0.38378	0.37451	0.1187
11110	0.16983	0.48892	0.27164	0.06961
11100	0.21215	0.52687	0.20892	0.05206
11130	0.08126	0.47944	0.35146	0.08783
21110	0.18134	0.54966	0.2198	0.0492
