Run	Year	StartEcoRegion	TargetSize	FinalSize
1	5	2	77.750000	0
1	10	1	84.500000	0
1	10	2	69.750000	0
1	10	1	52.750000	0
1	10	2	92.000000	0
1	10	1	60.750000	0
1	10	2	72.500000	0
1	15	2	72.500000	0
1	15	1	75.500000	0
1	15	1	72.000000	0
1	15	2	59.750000	0
1	15	2	62.750000	0
1	15	2	68.750000	0
1	15	2	87.750000	0
1	15	1	89.750000	0
1	20	1	58.750000	0
1	20	2	52.750000	0
1	20	1	74.250000	0
1	20	2	67.250000	0
1	25	1	62.000000	0
1	25	2	67.250000	0
1	25	2	78.500000	0
1	25	1	98.500000	0
1	30	1	70.000000	0
1	30	1	77.500000	0
1	35	1	56.000000	0
1	35	1	85.750000	0
1	35	2	66.250000	0
1	35	1	50.500000	0
1	35	2	84.750000	0
1	35	1	71.250000	0
1	35	2	61.500000	0
1	35	2	58.000000	0
1	35	1	77.500000	0
1	35	1	91.750000	0
1	35	1	63.000000	0
1	35	1	88.000000	0
1	35	2	51.500000	0
1	35	2	94.500000	0
1	35	1	77.000000	0
1	35	1	72.750000	0
1	35	2	95.000000	0
1	35	2	59.750000	0
1	35	1	80.500000	0
1	35	2	86.000000	0
1	40	2	50.250000	0
1	40	1	92.000000	0
1	40	1	75.250000	0
1	40	1	82.000000	0
1	40	2	68.750000	0
1	40	2	76.000000	0
1	40	1	95.250000	0
1	40	1	64.250000	0
1	40	1	79.750000	0
1	40	2	65.500000	0
1	40	1	57.500000	0
1	40	1	91.000000	0
1	40	1	81.500000	0
1	40	2	66.750000	0
