soilIndex2	wBirch	bSpruce	jPine	tAspen	bFir
109	2	2	2	2	2
112	2	2	2	2	2
115	2	2	2	2	2
118	2	2	2	2	2
121	2	2	2	2	2
124	2	2	2	2	2
309	2	2	2	2	2
312	2	2	2	2	2
315	2	2	2	2	2
318	2	2	2	2	2
321	2	2	2	2	2
324	2	2	2	2	2
409	2	2	2	2	2
412	2	2	2	2	2
415	2	2	2	2	2
418	2	2	2	2	2
421	2	2	2	2	2
424	2	2	2	2	2
209	2	2	2	2	2
212	2	2	2	2	2
215	2	2	2	2	2
218	2	2	2	2	2
221	2	2	2	2	2
224	2	2	2	2	2
1109	2	2	2	2	2
1112	2	2	2	2	2
1115	2	2	2	2	2
1118	2	2	2	2	2
1121	2	2	2	2	2
1124	2	2	2	2	2
1309	2	2	2	2	2
1312	2	2	2	2	2
1315	2	2	2	2	2
1318	2	1	1	2	2
1321	2	1	1	2	2
1324	2	1	1	2	2
1409	2	2	2	2	2
1412	2	2	2	2	2
1415	2	2	2	2	2
1418	2	2	2	2	2
1421	2	2	2	2	2
1424	2	2	2	2	2
1209	2	2	2	2	2
1212	2	2	2	2	2
1215	2	2	2	2	2
1218	2	1	1	2	2
1221	2	1	1	2	2
1224	2	1	1	2	2
2109	2	2	2	2	2
2112	2	2	2	2	2
2115	2	2	2	2	2
2118	2	2	2	2	2
2121	2	2	2	2	2
2124	2	2	2	2	2
2309	2	2	2	1	2
2312	2	2	2	1	1
2315	2	1	1	1	1
2318	1	1	1	1	1
2321	1	1	1	1	1
2324	1	1	1	1	1
2409	1	1	1	1	1
2412	1	1	1	1	1
2415	1	1	1	1	1
2418	1	1	1	1	1
2421	1	1	1	1	1
2424	1	1	1	1	1
2209	2	2	2	1	2
2212	2	2	2	1	1
2215	2	1	1	1	1
2218	1	1	1	1	1
2221	1	1	1	1	1
2224	1	1	1	1	1
