SoilIndex	wBirch	bSpruce	jPine	tAspen	bFir
10412	0	0	0	0	0
10415	0	0	0	0	0
10418	0	0	0	0	0
10421	67	0	0	41	0
412	0	0	0	0	0
415	0	0	0	0	0
418	0	0	0	0	0
421	0	0	0	0	0
11412	0	0	0	0	0
11415	0	0	0	0	0
11418	79	0	0	58	0
11421	97	0	0	63	77
1412	0	0	0	0	0
1415	0	0	0	0	0
1418	0	0	0	0	0
1421	0	0	0	0	0
12412	0	0	0	0	0
12415	0	0	0	63	0
12418	102	0	0	72	82
12421	109	33	0	74	91
2412	0	0	0	0	0
2415	0	0	0	0	0
2418	0	0	0	0	0
2421	0	0	0	0	0
10212	0	0	0	0	0
10215	0	0	0	0	0
10218	0	0	0	0	0
10221	67	0	0	41	0
212	0	0	0	0	0
215	0	0	0	0	0
218	0	0	0	0	0
221	0	0	0	0	0
11212	0	0	0	0	0
11215	0	0	0	0	0
11218	79	0	0	58	0
11221	97	0	0	63	77
1212	0	0	0	0	0
1215	0	0	0	0	0
1218	0	0	0	0	0
1221	0	0	0	0	0
12212	0	0	0	0	0
12215	0	0	0	63	0
12218	102	0	0	72	82
12221	109	33	0	74	91
2212	0	0	0	0	0
2215	0	0	0	0	0
2218	0	0	0	0	0
2221	0	0	0	0	0
10312	0	0	0	0	0
10315	0	0	0	0	0
10318	0	0	0	0	0
10321	67	0	0	41	0
312	0	0	0	0	0
315	0	0	0	0	0
318	0	0	0	0	0
321	0	0	0	0	0
11312	0	0	0	0	0
11315	0	0	0	0	0
11318	79	0	0	58	0
11321	97	0	0	63	77
1312	0	0	0	0	0
1315	0	0	0	0	0
1318	0	0	0	0	0
1321	0	0	0	0	0
12312	0	0	0	0	0
12315	0	0	0	63	0
12318	102	0	0	72	82
12321	109	33	0	74	91
2312	0	0	0	0	0
2315	0	0	0	0	0
2318	0	0	0	0	0
2321	0	0	0	0	0
10112	0	0	0	0	0
10115	0	0	0	0	0
10118	0	0	0	0	0
10121	67	0	0	41	0
112	0	0	0	0	0
115	0	0	0	0	0
118	0	0	0	0	0
121	0	0	0	0	0
11112	0	0	0	0	0
11115	0	0	0	0	0
11118	79	0	0	58	0
11121	97	0	0	63	77
1112	0	0	0	0	0
1115	0	0	0	0	0
1118	0	0	0	0	0
1121	0	0	0	0	0
12112	0	0	0	0	0
12115	0	0	0	63	0
12118	102	0	0	72	82
12121	109	33	0	74	91
2112	0	0	0	0	0
2115	0	0	0	0	0
2118	0	0	0	0	0
2121	0	0	0	0	0
