SoilType	Type
OrganicMaterial1mThick	0
OrganicMaterialLessThanThick	0
WellStratifiedAlluviumOrganicSiltClayFormer	0
WellStratifiedAlluviumOrganicSiltClay	0
PrincipallySandGravelFormerWater	2
ThinOrAbsentSoilHalfRockyOutcrops	4
UndifferentiatedSoil	3
ThinSoil	3
VeryThinSoilUnder25cm	4
AverageDepthSoil	3
InferiorSoilTo50cmThinSomeOutcrops	4
FluvioGlacialSandGravel	2
WashedOutSoil	3
DecrepitThinLooseMoraine	3
FluvioGlacialSandGravelFormerWater	2
AverageDepthDecrepitMoraine	3
StableDuneByVegetation	2
Thin	3
Average	3
Ridge	3
GlaciolacustreSandSometimesGravel	1
OrganicMaterialFineSandAlluviumSiltClay	1
