Run	Year	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	areaBurned
1	0	58571.250000	81552.000000	85688.250000	99154.000000	51786.500000	0	13742.500000	0	0	0	0	0	0	0	0	0	0
1	5	58571.250000	81552.000000	85688.250000	99154.000000	51786.500000	0	13742.500000	0	0	0	0	0	0	0	0	0	170232.000000
1	10	39988.250000	63294.500000	92329.000000	72722.000000	83732.250000	24686.000000	13742.500000	0	0	0	0	0	0	0	0	0	118215.250000
1	15	22541.500000	57612.000000	89307.500000	77233.750000	90971.750000	39085.500000	13742.500000	0	0	0	0	0	0	0	0	0	129626.000000
1	20	10871.500000	57801.750000	82269.750000	81397.500000	98122.000000	46289.500000	9110.500000	4632.000000	0	0	0	0	0	0	0	0	106179.750000
1	25	6995.500000	57446.250000	81713.000000	83516.750000	98471.750000	48608.750000	6092.000000	7650.500000	0	0	0	0	0	0	0	0	162898.000000
1	30	2831.500000	51167.250000	75337.500000	84712.500000	86471.000000	65408.000000	14634.000000	9932.750000	0	0	0	0	0	0	0	0	104592.500000
1	35	1716.250000	45478.250000	69737.250000	81813.750000	82053.000000	77112.750000	21377.000000	11206.250000	0	0	0	0	0	0	0	0	168707.000000
1	40	948.250000	36620.750000	59375.750000	84488.000000	79094.500000	85927.750000	31784.000000	10100.750000	2154.750000	0	0	0	0	0	0	0	70439.750000
1	45	436.500000	28365.000000	54711.500000	83897.000000	80437.250000	91816.000000	38090.000000	7692.000000	5049.250000	0	0	0	0	0	0	0	110981.000000
1	50	39.250000	16765.250000	50529.250000	80821.250000	80027.000000	86460.000000	57101.750000	11850.250000	6900.500000	0	0	0	0	0	0	0	40207.500000
1	55	0	7379.000000	45689.000000	74227.750000	80470.500000	83877.750000	71226.000000	18449.250000	9175.250000	0	0	0	0	0	0	0	0
1	60	0	5114.250000	41303.000000	68243.250000	80409.750000	81886.000000	79215.750000	24025.000000	8830.750000	1466.750000	0	0	0	0	0	0	161385.750000
1	65	0	3222.000000	36766.750000	60885.750000	82467.000000	79977.250000	86716.250000	29214.750000	8032.750000	3212.000000	0	0	0	0	0	0	145305.250000
1	70	0	2254.500000	32612.250000	54304.000000	79933.500000	78655.250000	84324.000000	43607.000000	10135.750000	4668.250000	0	0	0	0	0	0	170227.500000
1	75	0	1391.000000	27973.500000	48033.750000	77434.750000	76607.250000	85820.750000	54740.750000	12498.250000	5994.500000	0	0	0	0	0	0	144063.750000
1	80	0	810.500000	22544.000000	41868.000000	74317.250000	76304.500000	85160.500000	65175.750000	17094.000000	6201.000000	1019.000000	0	0	0	0	0	90272.000000
1	85	0	486.750000	17810.500000	38720.000000	68321.250000	76062.250000	84017.000000	74390.750000	22270.500000	6121.750000	2293.750000	0	0	0	0	0	101427.750000
1	90	0	100.500000	10254.500000	36103.750000	59547.000000	75357.500000	80826.750000	79565.000000	36408.500000	8477.750000	3853.250000	0	0	0	0	0	0
1	95	0	70.500000	7982.250000	33251.750000	50807.250000	74665.250000	77294.250000	82411.250000	47791.000000	10839.250000	5381.750000	0	0	0	0	0	117680.750000
1	100	0	48.000000	5505.250000	30398.750000	46481.250000	73006.750000	74231.750000	84371.500000	56285.250000	13775.750000	5411.750000	978.500000	0	0	0	0	150544.000000
1	105	0	15.250000	2920.500000	25431.750000	40183.000000	72457.750000	74908.750000	83219.000000	65738.500000	18184.000000	5332.000000	2104.000000	0	0	0	0	69130.000000
1	110	0	2.000000	1100.000000	18659.250000	36400.250000	65521.750000	74464.000000	81150.750000	71371.750000	31031.250000	7378.500000	3415.000000	0	0	0	0	0
1	115	0	1.000000	696.250000	15432.000000	34998.500000	59361.000000	73904.500000	78880.000000	74188.750000	39511.750000	9108.500000	4412.250000	0	0	0	0	174839.500000
1	120	0	0.500000	476.000000	12746.500000	33723.500000	54042.250000	73727.000000	76953.000000	76612.500000	46122.750000	10939.250000	4353.000000	798.250000	0	0	0	199331.500000
1	125	0	0.250000	156.750000	8162.000000	30796.250000	46626.750000	71967.250000	75674.000000	80771.750000	55809.500000	14186.000000	4752.000000	1592.000000	0	0	0	31126.750000
1	130	0	0	76.000000	5972.500000	27987.750000	43130.500000	67100.750000	74132.000000	81650.750000	58462.500000	23084.000000	6630.000000	2267.750000	0	0	0	137767.500000
1	135	0	0	11.500000	2805.000000	22982.000000	38921.000000	65182.250000	71567.250000	79007.250000	66939.750000	31645.500000	8144.250000	3288.750000	0	0	0	47241.750000
1	140	0	0	8.000000	1915.500000	20122.750000	36744.750000	60323.750000	71260.750000	77552.750000	70378.500000	38378.750000	9561.750000	3486.750000	760.500000	0	0	163717.750000
1	145	0	0	4.250000	1351.250000	17409.750000	34424.250000	56634.500000	70520.250000	75840.750000	74251.250000	44031.750000	11111.500000	3572.750000	1342.250000	0	0	182253.750000
1	150	0	0	1.750000	762.500000	14221.750000	32695.000000	49976.000000	69194.500000	73225.750000	76108.250000	48978.250000	18168.000000	5183.000000	1979.750000	0	0	108538.250000
1	155	0	0	0	280.000000	9237.000000	30410.000000	45614.750000	68274.000000	72069.500000	76189.750000	54125.500000	25027.500000	6544.750000	2721.750000	0	0	98828.750000
1	160	0	0	0	67.750000	4936.250000	26402.750000	40031.750000	64738.750000	71161.250000	76569.250000	61772.500000	33010.750000	8207.000000	3060.500000	536.000000	0	0
1	165	0	0	0	9.250000	2279.750000	20952.750000	36140.750000	59319.500000	70783.000000	76044.000000	69159.250000	40916.000000	10303.750000	3272.750000	1313.750000	0	0
1	170	0	0	0	5.000000	1486.000000	17162.750000	33015.250000	52362.250000	70594.500000	73834.500000	72686.500000	45561.750000	17027.250000	4837.750000	1921.000000	0	71849.250000
1	175	0	0	0	2.750000	1081.250000	14463.750000	31547.500000	47077.250000	68316.500000	73413.000000	72473.750000	50611.500000	22828.500000	6254.750000	2424.000000	0	156887.250000
1	180	0	0	0	0.500000	380.000000	9294.250000	29045.500000	42427.750000	65665.250000	72374.500000	75094.000000	55951.750000	29453.000000	7647.500000	2756.000000	404.500000	47689.000000
1	185	0	0	0	0.250000	223.750000	7046.750000	26545.500000	38194.000000	61638.000000	71097.750000	74221.750000	62097.500000	36248.750000	9141.250000	2956.250000	1083.000000	94988.000000
1	190	0	0	0	0.250000	158.750000	5607.250000	24885.750000	36686.500000	58457.000000	70099.000000	73184.750000	65037.250000	37880.250000	12929.250000	4056.750000	1511.750000	220411.500000
1	195	0	0	0	0	82.250000	3831.750000	22109.750000	35540.250000	54987.000000	67979.500000	71782.000000	67056.500000	42253.000000	17676.500000	5101.000000	2095.000000	153593.250000
1	200	0	0	0	0	18.500000	1834.500000	16811.000000	32956.750000	49029.000000	66599.250000	70443.500000	70208.500000	49601.000000	23781.500000	6449.000000	2762.000000	1615.000000
1	205	0	0	0	0	13.000000	1445.750000	14631.000000	31563.750000	45769.000000	64484.250000	70160.750000	70230.500000	52664.500000	28533.750000	7668.000000	3330.250000	195336.750000
1	210	0	0	0	0	2.750000	686.250000	10656.250000	30351.250000	42812.250000	60801.500000	68977.250000	71042.250000	56831.750000	32023.250000	11462.000000	4847.750000	101185.750000
1	215	0	0	0	0	1.000000	473.500000	8620.000000	28163.250000	39889.500000	57730.500000	67795.750000	70614.500000	59544.250000	36251.250000	15093.500000	6317.500000	150531.000000
1	220	0	0	0	0	0.250000	164.000000	4988.000000	23743.750000	36804.250000	53400.000000	65823.000000	70952.750000	63705.750000	42647.750000	20131.250000	8133.750000	1663.500000
1	225	0	0	0	0	0	51.750000	2617.000000	18623.500000	34679.750000	49275.000000	63691.250000	69995.000000	66901.250000	48914.000000	25692.250000	10053.750000	20718.500000
1	230	0	0	0	0	0	35.500000	1999.000000	16290.500000	33279.500000	45947.750000	61780.500000	69560.000000	67440.750000	51554.250000	28796.000000	13810.750000	183187.000000
1	235	0	0	0	0	0	21.000000	1469.500000	13741.000000	31175.000000	42561.250000	59946.250000	68065.250000	68322.250000	53531.250000	32556.000000	19105.750000	144965.250000
1	240	0	0	0	0	0	5.750000	718.500000	9756.000000	28453.000000	39106.000000	56492.750000	66433.500000	69899.000000	56606.250000	38001.000000	25022.750000	41465.250000
1	245	0	0	0	0	0	2.750000	516.750000	7998.500000	26228.250000	36853.250000	54709.500000	65265.000000	69613.750000	58086.750000	41344.500000	29875.500000	184087.000000
1	250	0	0	0	0	0	1.750000	363.500000	6451.250000	24227.250000	35395.500000	51904.000000	63344.750000	69572.250000	59466.250000	43613.000000	36155.000000	179275.000000
1	255	0	0	0	0	0	0.500000	140.000000	3698.750000	19843.000000	33650.750000	48333.000000	62063.000000	68747.500000	62662.500000	46566.500000	44789.000000	48954.250000
1	260	0	0	0	0	0	0	100.000000	2829.750000	17434.250000	32395.500000	45848.000000	60154.750000	66455.500000	64265.500000	47954.000000	53057.250000	168851.500000
1	265	0	0	0	0	0	0	76.250000	2313.250000	15351.250000	30791.000000	42813.250000	58110.500000	65111.500000	65105.500000	49414.250000	61407.750000	164051.250000
1	270	0	0	0	0	0	0	52.500000	1729.500000	13084.750000	29038.750000	39432.500000	55748.000000	63019.000000	66047.500000	52739.250000	69602.750000	129811.500000
1	275	0	0	0	0	0	0	26.250000	1183.500000	10821.500000	26955.250000	36136.250000	52439.250000	61485.500000	65704.750000	55673.250000	80069.000000	86179.250000
1	280	0	0	0	0	0	0	14.750000	814.000000	9091.500000	25077.500000	33424.000000	48382.500000	59736.750000	65175.500000	57847.500000	90930.500000	99266.500000
1	285	0	0	0	0	0	0	7.750000	422.500000	6276.250000	22130.000000	31399.000000	43565.500000	57725.250000	64269.250000	60916.500000	103782.500000	21426.750000
1	290	0	0	0	0	0	0	5.250000	258.000000	4554.250000	19349.500000	30249.000000	41259.250000	55916.750000	62532.250000	62738.500000	113631.750000	124329.500000
1	295	0	0	0	0	0	0	3.500000	191.750000	3732.250000	17313.000000	28727.500000	37540.000000	53396.000000	60428.500000	63370.750000	125791.250000	111599.000000
