Run	Year	StartEcoRegion	TargetSize	FinalSize
1	0	2	63.500000	0
1	0	2	86.000000	0
1	0	2	64.000000	0
1	0	1	60.500000	0
1	5	1	57.750000	0
1	5	2	62.500000	0
1	5	1	70.000000	0
1	5	1	54.750000	0
1	5	1	87.500000	0
1	5	1	58.750000	0
1	5	1	82.500000	0
1	5	1	75.000000	0
1	5	2	76.250000	0
1	5	1	57.750000	0
1	5	2	75.750000	0
1	5	2	81.000000	0
1	10	1	82.000000	0
1	10	2	84.000000	0
1	10	2	92.000000	0
1	10	1	54.000000	0
1	10	1	94.000000	0
1	10	2	53.500000	0
1	10	2	90.000000	0
1	10	1	76.500000	0
1	10	1	81.500000	0
1	10	2	59.250000	0
1	10	1	60.000000	0
1	10	2	69.750000	0
1	10	2	99.750000	0
1	10	1	95.750000	0
1	10	2	68.750000	0
1	10	2	63.000000	0
1	10	1	89.000000	0
1	10	1	81.500000	0
1	10	2	66.000000	0
1	10	1	90.500000	0
1	10	1	87.250000	0
1	10	1	52.250000	0
1	10	2	78.500000	0
1	10	2	53.500000	0
1	10	1	54.250000	0
1	10	2	91.500000	0
1	10	1	87.750000	0
1	15	1	92.750000	0
1	15	1	76.500000	0
1	15	2	83.000000	0
1	15	2	55.750000	0
1	15	2	87.750000	0
1	15	2	71.000000	0
1	15	2	60.750000	0
1	15	2	63.750000	0
1	15	1	83.250000	0
1	20	2	57.000000	0
1	20	2	58.500000	0
1	20	1	63.250000	0
1	20	2	62.250000	0
1	20	2	94.250000	0
1	20	1	67.250000	0
1	25	1	57.000000	0
1	30	1	73.000000	0
1	30	1	87.250000	0
1	30	2	65.750000	0
1	30	1	57.750000	0
1	30	2	84.500000	0
1	30	2	79.500000	0
1	30	1	54.750000	0
1	30	2	96.000000	0
1	30	1	79.000000	0
1	30	1	95.250000	0
1	30	1	94.000000	0
1	30	1	58.500000	0
1	30	2	83.250000	0
1	35	2	50.500000	0
1	35	2	63.250000	0
1	35	2	51.000000	0
1	35	2	54.750000	0
1	35	2	73.500000	0
1	35	1	53.500000	0
1	35	2	83.750000	0
1	45	1	92.500000	0
1	45	2	92.750000	0
1	45	2	53.500000	0
1	45	2	70.000000	0
1	45	2	76.750000	0
1	45	1	88.000000	0
1	45	1	72.000000	0
1	45	1	56.250000	0
1	45	1	55.000000	0
1	45	1	79.000000	0
1	45	2	69.500000	0
1	45	1	84.250000	0
1	45	2	53.000000	0
1	50	2	82.750000	0
1	50	2	83.250000	0
1	50	1	90.000000	0
1	50	2	82.000000	0
1	55	1	88.750000	0
1	55	2	64.750000	0
1	55	1	62.250000	0
1	55	1	68.500000	0
1	60	1	89.750000	0
1	60	2	85.250000	0
1	60	2	52.000000	0
1	60	2	54.500000	0
1	60	1	51.250000	0
1	60	1	70.250000	0
1	65	2	62.750000	0
1	70	1	82.500000	0
1	70	2	62.500000	0
1	75	1	97.750000	0
1	75	1	56.500000	0
1	75	1	60.250000	0
1	75	2	52.750000	0
1	75	2	60.250000	0
1	80	2	100.000000	0
1	80	2	97.000000	0
1	80	2	75.500000	0
1	80	2	58.000000	0
1	80	1	85.750000	0
1	80	2	85.500000	0
1	80	2	60.750000	0
1	80	1	81.500000	0
1	80	1	56.000000	0
1	80	1	55.250000	0
1	80	2	61.000000	0
1	80	2	73.750000	0
1	80	2	62.000000	0
1	80	2	65.000000	0
1	90	2	74.250000	0
1	90	2	72.000000	0
1	90	2	55.500000	0
1	90	1	88.750000	0
1	90	2	84.500000	0
1	90	1	69.500000	0
1	95	1	55.750000	0
1	95	1	62.250000	0
1	95	1	53.500000	0
1	95	2	52.500000	0
1	95	1	64.500000	0
1	95	2	77.500000	0
1	95	2	51.500000	0
1	95	1	61.750000	0
1	95	2	71.750000	0
1	100	1	98.000000	0
1	100	1	57.500000	0
1	100	2	84.750000	0
1	100	1	86.000000	0
1	100	1	95.500000	0
1	100	1	98.750000	0
1	100	2	57.250000	0
1	100	1	83.000000	0
1	100	1	73.250000	0
1	100	1	97.250000	0
1	100	1	55.000000	0
1	100	2	75.000000	0
1	100	1	93.250000	0
1	100	2	71.750000	0
1	105	2	61.500000	0
1	105	1	89.750000	0
1	105	2	89.000000	0
1	110	2	79.750000	0
1	110	1	70.250000	0
1	110	1	98.000000	0
1	110	1	76.000000	0
1	110	1	93.750000	0
1	115	2	92.250000	0
1	115	1	91.500000	0
1	115	1	60.000000	0
1	115	1	86.750000	0
1	115	2	75.500000	0
1	115	2	71.500000	0
1	120	2	67.000000	0
1	120	1	70.000000	0
1	120	2	60.500000	0
1	120	1	55.750000	0
1	120	2	72.500000	0
1	120	2	51.750000	0
1	125	2	87.500000	0
1	125	1	56.250000	0
1	125	2	85.250000	0
1	125	1	69.250000	0
1	125	2	62.000000	0
1	125	2	57.000000	0
1	125	2	93.000000	0
1	125	2	64.000000	0
1	130	1	55.000000	0
1	130	2	60.750000	0
1	130	2	91.500000	0
1	130	2	76.000000	0
1	130	2	95.000000	0
1	130	2	70.250000	0
1	130	2	97.250000	0
1	130	1	56.500000	0
1	135	1	56.750000	0
1	135	2	67.250000	0
1	135	2	83.750000	0
1	135	1	95.500000	0
1	135	2	51.250000	0
1	135	2	58.750000	0
1	135	1	93.000000	0
1	135	2	73.250000	0
1	140	1	93.000000	0
1	140	1	53.000000	0
1	140	1	54.000000	0
1	140	1	51.000000	0
1	140	1	97.000000	0
1	140	2	56.500000	0
1	140	2	71.250000	0
1	140	2	54.250000	0
1	140	1	80.250000	0
1	140	2	85.250000	0
1	145	1	66.250000	0
1	145	1	67.500000	0
1	145	1	82.250000	0
1	145	1	80.500000	0
1	145	2	63.250000	0
1	145	2	95.250000	0
1	145	1	61.750000	0
1	145	2	93.250000	0
1	145	1	59.250000	0
1	145	2	95.750000	0
1	145	2	99.500000	0
1	145	1	91.750000	0
1	145	1	81.750000	0
1	145	2	80.500000	0
1	145	2	52.000000	0
1	145	1	64.000000	0
1	145	1	82.750000	0
1	145	2	92.750000	0
1	145	1	52.000000	0
1	150	2	71.000000	0
1	150	1	63.500000	0
