AU	MHA	AgeAt7m	VolAtMHA	IQS50
1	72.55	15.17	109.20	16.788
2	77.50	14.39	149.70	17.445
3	73.53	12.34	105.25	16.209
4	69.61	12.75	81.80	16.795
5	71.59	10.88	141.52	18.737
6	68.84	10.88	144.44	18.737
7	80.71	13.23	261.13	16.380
8	64.75	12.43	95.99	20.623
9	93.68	16.29	77.12	17.075
10	47.28	10.55	69.38	19.760
11	70.67	12.04	131.67	16.976
12	72.55	15.92	93.90	16.217
13	77.50	15.07	134.39	16.873
14	73.53	13.03	89.94	15.637
15	69.61	13.42	66.50	16.224
16	71.59	11.38	126.22	18.166
17	68.84	11.38	129.14	18.166
18	80.71	13.95	245.83	15.808
19	64.75	12.93	80.69	20.052
20	93.68	17.12	61.82	16.503
21	47.28	11.00	54.08	19.188
22	70.67	12.68	116.36	16.404
23	72.55	16.77	70.11	15.630
24	77.50	15.83	110.60	16.287
25	73.53	13.82	66.15	15.050
26	69.61	14.17	42.71	15.637
27	71.59	11.93	102.43	17.579
28	68.84	11.93	105.35	17.579
29	80.71	14.76	222.04	15.222
30	64.75	13.49	56.90	19.465
31	93.68	18.05	38.03	15.917
32	47.28	11.49	30.29	18.602
33	70.67	13.40	92.57	15.818
34	72.55	17.60	34.97	15.101
35	77.50	16.58	75.46	15.758
36	73.53	14.62	31.01	14.521
37	69.61	14.92	7.57	15.108
38	71.59	12.48	67.29	17.050
39	68.84	12.48	70.20	17.050
40	80.71	15.56	186.89	14.693
41	64.75	14.04	21.75	18.936
42	93.68	18.97	2.89	15.388
43	47.28	11.97	0.00	18.073
44	70.67	14.11	57.43	15.289
45	72.55	12.82	70.96	18.982
46	77.50	12.24	111.45	19.639
47	73.53	10.21	67.00	18.403
48	69.61	10.68	43.56	18.989
49	71.59	9.30	103.28	20.931
50	68.84	9.30	106.19	20.931
51	80.71	11.02	222.88	18.574
52	64.75	10.77	57.74	22.817
53	93.68	13.69	38.88	19.269
54	47.28	9.12	31.14	21.954
55	70.67	10.06	93.42	19.170
56	72.55	15.85	46.60	16.270
57	77.50	15.00	87.10	16.926
58	73.53	12.97	42.65	15.690
59	69.61	13.36	19.21	16.277
60	71.59	11.33	78.93	18.218
61	68.84	11.33	81.84	18.218
62	80.71	13.88	198.53	15.861
63	64.75	12.88	33.39	20.104
64	93.68	17.04	14.53	16.556
65	47.28	10.96	6.78	19.241
66	70.67	12.62	69.07	16.457
67	72.55	15.17	119.66	16.788
68	77.50	14.39	160.16	17.445
69	73.53	12.34	115.71	16.209
70	69.61	12.75	92.26	16.795
71	71.59	10.88	151.99	18.737
72	68.84	10.88	154.90	18.737
73	80.71	13.23	271.59	16.380
74	64.75	12.43	106.45	20.623
75	93.68	16.29	87.58	17.075
76	47.28	10.55	79.84	19.760
77	70.67	12.04	142.13	16.976
